tool,db_layout,workload,strategy,N_or_K,n_reps,prefetch_time_us_med,prefetch_time_us_min,prefetch_time_us_max,n_prefetch,n_syscalls
prefetch_access,orig,A,2d,0,3,5.54,4.10,6.29,18,18
prefetch_access,orig,A,2e_K10,10,3,6.85,5.75,7.72,28,28
prefetch_access,orig,A,2e_K100,100,3,20.22,19.75,23.44,118,118
prefetch_access,orig,A,2e_K40,40,3,14.10,10.39,14.76,58,58
prefetch_access,orig,A,2e_K50,50,3,12.81,12.53,13.16,68,68
prefetch_access,orig,A,2e_K500,500,3,83.87,78.41,85.75,518,518
prefetch_access,orig,A,2e_K92,92,3,21.28,19.50,22.33,110,110
prefetch_access,orig,B,2d,0,3,3.68,3.25,5.20,16,16
prefetch_access,orig,B,2e_K10,10,3,5.86,4.89,6.58,26,26
prefetch_access,orig,B,2e_K100,100,3,20.07,19.56,20.80,116,116
prefetch_access,orig,B,2e_K40,40,3,12.50,9.86,12.67,56,56
prefetch_access,orig,B,2e_K50,50,3,12.87,11.29,13.08,66,66
prefetch_access,orig,B,2e_K500,500,3,83.72,78.17,84.61,516,516
prefetch_access,orig,B,2e_K92,92,3,20.83,18.71,20.90,108,108
prefetch_access,orig,C,2d,0,3,1.60,1.42,2.08,4,4
prefetch_access,orig,C,2e_K10,10,3,4.21,2.45,4.51,14,14
prefetch_access,orig,C,2e_K100,100,3,16.51,16.09,16.77,104,104
prefetch_access,orig,C,2e_K40,40,3,8.73,7.41,8.84,44,44
prefetch_access,orig,C,2e_K50,50,3,9.12,8.75,9.18,54,54
prefetch_access,orig,C,2e_K500,500,3,78.01,74.58,159.12,504,504
prefetch_access,orig,C,2e_K92,92,3,15.31,14.86,15.36,96,96
prefetch_access,ta,A,2d,0,3,5.71,5.45,6.38,31,31
prefetch_access,ta,A,2e_K10,10,3,8.44,7.39,8.56,41,41
prefetch_access,ta,A,2e_K100,100,3,21.91,21.70,22.33,131,131
prefetch_access,ta,A,2e_K40,40,3,12.26,11.29,15.69,71,71
prefetch_access,ta,A,2e_K50,50,3,13.65,13.60,19.15,81,81
prefetch_access,ta,A,2e_K500,500,3,84.55,79.31,86.38,531,531
prefetch_access,ta,A,2e_K92,92,3,23.15,20.13,23.34,123,123
prefetch_access,ta,B,2d,0,3,5.60,5.56,5.62,31,31
prefetch_access,ta,B,2e_K10,10,3,7.60,7.07,8.07,41,41
prefetch_access,ta,B,2e_K100,100,3,21.25,21.25,21.39,131,131
prefetch_access,ta,B,2e_K40,40,3,13.60,12.01,14.64,71,71
prefetch_access,ta,B,2e_K50,50,3,14.41,13.37,14.73,81,81
prefetch_access,ta,B,2e_K500,500,3,84.10,79.09,87.29,531,531
prefetch_access,ta,B,2e_K92,92,3,22.65,19.53,22.68,123,123
prefetch_access,ta,C,2d,0,3,5.62,4.95,5.92,32,32
