tool,db_layout,workload,strategy,N_or_K,rep,prefetch_time_us,n_prefetch,n_syscalls
prefetch_layers,orig,ALL,layers_0,0,1,0.0,0,0
prefetch_layers,orig,ALL,layers_0,0,2,0.0,0,0
prefetch_layers,orig,ALL,layers_0,0,3,0.0,0,0
prefetch_layers,orig,ALL,layers_1,1,1,2.31,1,1
prefetch_layers,orig,ALL,layers_1,1,2,1.65,1,1
prefetch_layers,orig,ALL,layers_1,1,3,2.9,1,1
prefetch_layers,orig,ALL,layers_2,2,1,1.5,2,2
prefetch_layers,orig,ALL,layers_2,2,2,1.67,2,2
prefetch_layers,orig,ALL,layers_2,2,3,1.35,2,2
prefetch_layers,orig,ALL,layers_3,3,1,1.85,3,3
prefetch_layers,orig,ALL,layers_3,3,2,1.62,3,3
prefetch_layers,orig,ALL,layers_3,3,3,1.51,3,3
prefetch_layers,orig,ALL,layers_4,4,1,1.76,4,4
prefetch_layers,orig,ALL,layers_4,4,2,1.73,4,4
prefetch_layers,orig,ALL,layers_4,4,3,1.54,4,4
prefetch_layers,orig,ALL,layers_5,5,1,1.39,5,5
prefetch_layers,orig,ALL,layers_5,5,2,1.15,5,5
prefetch_layers,orig,ALL,layers_5,5,3,1.82,5,5
prefetch_layers,orig,ALL,layers_6,6,1,2.14,6,6
prefetch_layers,orig,ALL,layers_6,6,2,2.26,6,6
prefetch_layers,orig,ALL,layers_6,6,3,1.96,6,6
prefetch_layers,orig,ALL,layers_7,7,1,2.52,7,7
prefetch_layers,orig,ALL,layers_7,7,2,1.87,7,7
prefetch_layers,orig,ALL,layers_7,7,3,2.03,7,7
prefetch_layers,orig,ALL,layers_8,8,1,2.16,8,8
prefetch_layers,orig,ALL,layers_8,8,2,2.05,8,8
prefetch_layers,orig,ALL,layers_8,8,3,1.74,8,8
prefetch_layers,orig,ALL,layers_9,9,1,2.35,9,9
prefetch_layers,orig,ALL,layers_9,9,2,2.22,9,9
prefetch_layers,orig,ALL,layers_9,9,3,2.12,9,9
prefetch_layers,orig,ALL,layers_10,10,1,2.62,10,10
prefetch_layers,orig,ALL,layers_10,10,2,2.05,10,10
prefetch_layers,orig,ALL,layers_10,10,3,2.32,10,10
prefetch_layers,orig,ALL,layers_11,11,1,2.41,11,11
prefetch_layers,orig,ALL,layers_11,11,2,2.95,11,11
prefetch_layers,orig,ALL,layers_11,11,3,2.33,11,11
prefetch_layers,orig,ALL,layers_12,12,1,2.56,12,12
prefetch_layers,orig,ALL,layers_12,12,2,2.82,12,12
prefetch_layers,orig,ALL,layers_12,12,3,2.9,12,12
prefetch_layers,orig,ALL,layers_13,13,1,3.06,13,13
prefetch_layers,orig,ALL,layers_13,13,2,3.07,13,13
prefetch_layers,orig,ALL,layers_13,13,3,2.19,13,13
prefetch_layers,orig,ALL,layers_14,14,1,3.39,14,14
prefetch_layers,orig,ALL,layers_14,14,2,3.32,14,14
prefetch_layers,orig,ALL,layers_14,14,3,3.16,14,14
prefetch_layers,orig,ALL,layers_15,15,1,3.33,15,15
prefetch_layers,orig,ALL,layers_15,15,2,2.77,15,15
prefetch_layers,orig,ALL,layers_15,15,3,3.0,15,15
prefetch_layers,orig,ALL,layers_16,16,1,2.87,16,16
prefetch_layers,orig,ALL,layers_16,16,2,3.48,16,16
prefetch_layers,orig,ALL,layers_16,16,3,3.56,16,16
prefetch_layers,orig,ALL,layers_17,17,1,3.56,17,17
prefetch_layers,orig,ALL,layers_17,17,2,3.76,17,17
prefetch_layers,orig,ALL,layers_17,17,3,3.41,17,17
prefetch_layers,orig,ALL,layers_18,18,1,3.84,18,18
prefetch_layers,orig,ALL,layers_18,18,2,3.98,18,18
prefetch_layers,orig,ALL,layers_18,18,3,3.82,18,18
prefetch_layers,orig,ALL,layers_19,19,1,4.12,19,19
prefetch_layers,orig,ALL,layers_19,19,2,3.89,19,19
prefetch_layers,orig,ALL,layers_19,19,3,3.81,19,19
