cadence,round,first_q_us,avg_us,majflt,minflt,time_since_prefetch_s,fires_total,wallclock_s
1.0,0,19.43,33.04,20.0,15.0,-2.03,5,3.01
1.0,1,12.78,30.38,20.0,16.0,-2.03,8,3.01
1.0,2,12.4,31.39,20.0,16.0,-2.04,11,3.01
1.0,3,30.43,29.41,19.0,33.0,-2.05,14,3.01
5.0,0,366.19,35.48,21.0,23.0,2.00,1,3.01
5.0,1,12.55,30.09,20.0,16.0,-0.00,2,3.01
5.0,2,12.22,30.9,20.0,16.0,-2.00,3,3.01
5.0,3,314.88,31.64,20.0,10.0,1.01,3,3.01
30.0,0,347.01,35.3,21.0,21.0,2.00,1,3.01
30.0,1,180.7,31.85,20.0,29.0,5.01,1,3.01
30.0,2,367.29,34.14,21.0,13.0,8.02,1,3.01
30.0,3,394.06,32.45,20.0,10.0,11.03,1,3.01
never,0,343.76,35.27,21.0,8.0,,0,3.01
never,1,204.69,31.42,20.0,20.0,,0,3.01
never,2,326.33,32.71,21.0,25.0,,0,3.01
never,3,303.27,31.52,20.0,20.0,,0,3.01
