workload,db,strategy,arm,ra_kb,rep,warmup,cold_pct,delivery_pct,first_query_us,preproc_us,e2e_us,avg_us,majflt,minflt,load,memavail_kb
A,orig,baseline,baseline,128,1,1,0.00,0.00,496.63,0.00,496.63,2.22,180.00,270.00,1.06,54723572
A,vacuum,baseline,baseline,128,1,1,0.00,0.00,704.39,0.00,704.39,2.05,142.00,219.00,1.06,54725828
A,ta,baseline,baseline,128,1,1,0.00,0.00,711.26,0.00,711.26,2.18,177.00,277.00,1.06,54725808
B,orig,baseline,baseline,128,1,1,0.00,0.00,725.88,0.00,725.88,2.30,181.00,273.00,1.06,54727564
B,vacuum,baseline,baseline,128,1,1,0.00,0.00,1014.67,0.00,1014.67,2.17,144.00,237.00,1.06,54728116
B,ta,baseline,baseline,128,1,1,0.00,0.00,1985.74,0.00,1985.74,2.32,182.00,277.00,1.06,54728400
C,orig,baseline,baseline,128,1,1,0.00,0.00,1065.35,0.00,1065.35,1.62,24.00,25.00,1.06,54727908
C,vacuum,baseline,baseline,128,1,1,0.00,0.00,1006.22,0.00,1006.22,1.56,14.00,33.00,1.06,54729360
C,ta,baseline,baseline,128,1,1,0.00,0.00,865.82,0.00,865.82,1.62,25.00,27.00,1.06,54729164
A,orig,layers_5,pread,128,1,1,0.00,100.00,154.99,591.01,746.00,2.16,180.00,271.00,1.06,54729108
A,orig,layers_5,async,128,1,1,0.00,100.00,343.76,213.77,557.53,2.19,180.00,271.00,1.06,54729768
A,orig,layers_92,pread,128,1,1,0.00,100.00,156.82,8125.75,8282.57,2.16,177.00,286.00,1.06,54735652
A,orig,layers_92,async,128,1,1,0.00,100.00,337.12,364.56,701.68,2.19,178.00,283.00,1.06,54744456
A,orig,2d,pread,128,1,1,0.00,100.00,152.25,1903.24,2055.49,2.18,177.00,286.00,1.14,54744460
A,orig,2d,async,128,1,1,0.00,100.00,381.18,267.80,648.98,2.16,178.00,283.00,1.14,54744832
A,orig,2e_K10,pread,128,1,1,0.00,100.00,152.18,2952.23,3104.41,2.26,181.00,287.00,1.14,54745108
A,orig,2e_K10,async,128,1,1,0.00,100.00,334.93,289.68,624.61,2.19,181.00,287.00,1.14,54745572
A,orig,2e_K500,pread,128,1,1,0.00,100.00,167.83,20781.98,20949.81,2.10,168.00,431.00,1.14,54746000
A,orig,2e_K500,async,128,1,1,0.00,100.00,155.69,1084.60,1240.29,2.24,179.00,414.00,1.14,54746816
A,orig,2f_slru,pread,128,1,1,0.00,100.00,110.34,18130.94,18241.28,1.63,0.00,278.00,1.14,54746992
A,orig,2f_slru,async,128,1,1,0.00,100.00,105.21,7353.31,7458.52,1.59,0.00,278.00,1.14,54747304
