workload,db,strategy,arm,n,ra_kb,fq_median,fq_p95,fq_min,fq_stdev,delivery_pct_median,preproc_us_median,open_us_median,deliver_us_median,e2e_median,e2e_warm_median,cold_pct_max
A,orig,2d,async,10,128,401.31,436.64,352.25,35.65,100.0,278.90,193.53,85.53,679.86,487.02,0.0
A,orig,2d,pread,5,128,209.69,214.50,207.24,2.83,100.0,1925.93,194.00,1733.39,2134.82,1942.28,0.0
A,orig,2e_K10,async,10,128,392.56,436.54,358.16,24.72,100.0,289.50,192.87,97.13,684.67,490.10,0.0
A,orig,2e_K10,pread,5,128,211.52,212.70,208.58,1.43,100.0,2655.13,193.80,2461.79,2865.62,2673.85,0.0
A,orig,2e_K500,async,10,128,212.20,219.23,207.21,3.70,100.0,1026.69,194.01,832.50,1238.38,1044.19,0.0
A,orig,2e_K500,pread,5,128,211.18,213.10,208.35,1.64,100.0,20758.20,193.47,20564.16,20969.26,20775.22,0.0
A,orig,2f_slru,async,10,128,126.69,131.94,124.55,2.77,100.0,7200.48,193.02,7007.19,7327.44,7134.16,0.0
A,orig,2f_slru,pread,5,128,128.13,130.25,121.85,3.04,100.0,18011.53,193.81,17817.72,18138.88,17945.07,0.0
A,orig,baseline,baseline,10,128,529.08,535.12,521.37,3.87,0.0,0.00,0.00,0.00,529.08,529.08,0.0
A,orig,layers_5,async,10,128,412.13,434.16,361.01,22.78,100.0,261.03,192.61,68.41,671.34,480.30,0.0
A,orig,layers_5,pread,5,128,207.02,212.03,205.95,2.58,100.0,631.77,192.69,438.05,838.71,645.07,0.0
A,orig,layers_92,async,10,128,393.00,435.90,385.35,21.90,100.0,387.00,193.90,192.16,781.36,587.48,0.0
A,orig,layers_92,pread,5,128,210.37,211.33,208.54,0.99,100.0,8160.74,193.74,7966.56,8371.11,8176.93,0.0
A,ta,2d,async,10,128,463.02,467.64,415.82,14.78,72.1,330.23,220.90,109.92,792.77,573.35,0.0
A,ta,2d,pread,5,128,216.31,220.42,215.37,2.08,100.0,1068.46,221.24,848.32,1285.42,1064.18,0.0
