workload,db,strategy,arm,ra_kb,rep,warmup,cold_pct,delivery_pct,first_query_us,preproc_us,e2e_us,avg_us,majflt,minflt,load,memavail_kb
A,orig,2d,pread,128,1,1,0.00,100.00,155.49,1844.66,2000.15,2.15,177.00,286.00,1.32,53997948
A,orig,2d,async,128,1,1,0.00,100.00,299.93,260.22,560.15,2.13,178.00,283.00,1.32,53998056
A,orig,2e_K10,pread,128,1,1,0.00,100.00,155.23,2615.77,2771.00,2.17,181.00,287.00,1.32,53998552
A,orig,2e_K10,async,128,1,1,0.00,100.00,300.56,240.32,540.88,2.17,181.00,287.00,1.32,53998796
A,orig,2e_K40,pread,128,1,1,0.00,100.00,153.22,5147.80,5301.02,2.17,182.00,306.00,1.32,54002628
A,orig,2e_K40,async,128,1,1,0.00,100.00,350.09,273.38,623.47,2.22,182.00,306.00,1.45,54002428
A,orig,2e_K50,pread,128,1,1,0.00,100.00,157.06,6090.81,6247.87,2.16,182.00,310.00,1.45,54008844
A,orig,2e_K50,async,128,1,1,0.00,100.00,383.40,280.15,663.55,2.13,182.00,310.00,1.45,54008704
A,orig,2e_K92,pread,128,1,1,0.00,100.00,156.50,9539.66,9696.16,2.14,183.00,326.00,1.45,54009948
A,orig,2e_K92,async,128,1,1,0.00,100.00,248.01,359.51,607.52,2.14,183.00,326.00,1.45,54010236
A,orig,2e_K100,pread,128,1,1,0.00,100.00,159.12,10317.88,10477.00,2.16,183.00,327.00,1.45,53999112
A,orig,2e_K100,async,128,1,1,0.00,100.00,248.73,370.34,619.07,2.17,183.00,326.00,1.45,53999788
A,orig,2e_K500,pread,128,1,1,0.00,100.00,162.47,20464.87,20627.34,2.07,168.00,432.00,1.45,54001204
A,orig,2e_K500,async,128,1,1,0.00,100.00,156.87,1003.92,1160.79,2.12,179.00,417.00,1.45,54001408
A,vacuum,2d,pread,128,1,1,0.00,100.00,185.68,1298.58,1484.26,2.02,142.00,231.00,1.45,54001620
A,vacuum,2d,async,128,1,1,0.00,100.00,553.08,217.23,770.31,2.05,142.00,229.00,1.45,54002488
A,vacuum,2e_K10,pread,128,1,1,0.00,100.00,190.51,2139.63,2330.14,2.04,143.00,238.00,1.45,54001788
A,vacuum,2e_K10,async,128,1,1,0.00,100.00,551.69,221.71,773.40,2.01,143.00,236.00,1.45,54002668
A,vacuum,2e_K40,pread,128,1,1,0.00,100.00,184.14,4715.40,4899.54,2.02,148.00,237.00,1.45,54003628
A,vacuum,2e_K40,async,128,1,1,0.00,100.00,554.32,271.64,825.96,2.03,148.00,236.00,1.45,54004836
A,vacuum,2e_K50,pread,128,1,1,0.00,100.00,189.67,5587.07,5776.74,2.03,148.00,241.00,1.45,54004336
A,vacuum,2e_K50,async,128,1,1,0.00,100.00,492.96,276.34,769.30,2.02,148.00,240.00,1.50,54005236
A,vacuum,2e_K92,pread,128,1,1,0.00,100.00,189.12,9111.04,9300.16,2.04,147.00,260.00,1.50,54005396
A,vacuum,2e_K92,async,128,1,1,0.00,100.00,344.52,349.62,694.14,2.03,147.00,260.00,1.50,54006032
A,vacuum,2e_K100,pread,128,1,1,0.00,100.00,184.39,9891.78,10076.17,2.09,147.00,262.00,1.50,54008744
A,vacuum,2e_K100,async,128,1,1,0.00,100.00,348.37,369.94,718.31,2.03,147.00,261.00,1.50,54010784
A,vacuum,2e_K500,pread,128,1,1,0.00,100.00,198.86,45510.98,45709.84,1.98,138.00,358.00,1.50,54007428
A,vacuum,2e_K500,async,128,1,1,0.00,100.00,188.18,1094.50,1282.68,2.02,145.00,330.00,1.50,54008156
A,ta,2d,pread,128,1,1,0.00,100.00,193.40,931.98,1125.38,2.16,176.00,277.00,1.50,54008652
A,ta,2d,async,128,1,1,0.00,53.50,439.38,242.20,681.58,2.11,176.00,276.00,1.50,54006932
A,ta,2e_K10,pread,128,1,1,0.00,100.00,195.60,1979.41,2175.01,2.19,179.00,282.00,1.50,54007352
A,ta,2e_K10,async,128,1,1,0.00,100.00,396.30,262.57,658.87,2.18,179.00,281.00,1.50,54007600
A,ta,2e_K40,pread,128,1,1,0.00,100.00,207.96,4786.97,4994.93,2.19,180.00,295.00,1.50,54008128
A,ta,2e_K40,async,128,1,1,0.00,98.80,369.64,303.34,672.98,2.13,180.00,293.00,1.50,54008140
A,ta,2e_K50,pread,128,1,1,0.00,100.00,199.22,6396.73,6595.95,2.15,180.00,298.00,1.50,54008648
A,ta,2e_K50,async,128,1,1,0.00,93.50,393.30,333.20,726.50,2.19,180.00,297.00,1.50,54007792
A,ta,2e_K92,pread,128,1,1,0.00,100.00,189.73,12626.00,12815.73,2.18,180.00,315.00,1.54,54007224
A,ta,2e_K92,async,128,1,1,0.00,45.90,367.38,368.74,736.12,2.22,181.00,315.00,1.54,54007480
A,ta,2e_K100,pread,128,1,1,0.00,100.00,191.88,15465.48,15657.36,2.15,179.00,316.00,1.54,54007820
A,ta,2e_K100,async,128,1,1,0.00,45.50,722.23,389.08,1111.31,2.19,181.00,315.00,1.54,54044996
A,ta,2e_K500,pread,128,1,1,0.00,100.00,195.37,17550.55,17745.92,2.13,170.00,415.00,1.54,53990232
