mode,rep,first_query_us,avg_us,majflt,minflt,warmer_us,warmed_pages
L0_off,1,520.39,2.06,180,270,0.05,0
L0_off,2,510.97,2.02,180,270,0.05,0
L0_off,3,536.95,2.05,180,270,0.10,0
L0_off,4,444.88,2.04,180,270,0.17,0
L0_off,5,506.69,2.06,180,270,0.04,0
L0_off,6,511.25,2.04,180,270,0.06,0
L0_off,7,510.36,2.02,180,270,0.10,0
L0_off,8,443.08,2.02,180,270,0.05,0
L0_off,9,503.32,2.01,180,270,0.06,0
L0_off,10,511.29,2.03,180,270,0.04,0
L0_off,11,449.61,2.03,180,270,0.05,0
L0_off,12,515.62,2.10,180,270,0.04,0
L0_off,13,514.34,2.03,180,270,0.05,0
L0_off,14,507.89,2.01,180,270,0.05,0
L0_off,15,510.73,2.06,180,270,0.06,0
L0_off,16,509.64,2.00,180,270,0.09,0
L0_off,17,511.98,2.04,180,270,0.05,0
L0_off,18,513.47,2.01,180,271,0.05,0
L0_off,19,508.32,2.07,180,270,0.05,0
L0_off,20,464.83,2.00,180,270,0.05,0
L0_off,21,446.55,2.02,180,270,0.05,0
L0_off,22,507.42,2.02,180,270,0.05,0
L0_off,23,464.76,2.02,180,270,0.05,0
L0_off,24,505.26,2.03,180,270,0.05,0
L0_off,25,516.15,2.02,180,270,0.06,0
L0_off,26,447.07,2.04,180,270,0.05,0
L0_off,27,518.04,2.01,180,270,0.05,0
L0_off,28,501.25,2.01,180,270,0.06,0
L0_off,29,513.96,2.03,180,271,0.06,0
L0_off,30,519.91,2.05,180,270,0.05,0
L1_int_pread,1,132.05,2.02,177,286,8022.93,92
L1_int_pread,2,115.41,2.01,177,286,8013.06,92
L1_int_pread,3,120.90,2.02,177,286,7976.25,92
L1_int_pread,4,114.92,2.04,177,286,8009.36,92
L1_int_pread,5,109.18,2.09,177,286,8045.21,92
L1_int_pread,6,109.39,2.05,177,286,8038.56,92
L1_int_pread,7,113.22,2.03,177,286,8003.39,92
L1_int_pread,8,112.10,2.02,177,286,8050.28,92
L1_int_pread,9,111.55,2.01,177,286,8001.80,92
L1_int_pread,10,114.17,2.04,177,287,8117.29,92
L1_int_pread,11,115.05,2.03,177,286,7970.56,92
L1_int_pread,12,110.46,2.04,177,286,8002.88,92
L1_int_pread,13,107.63,2.03,177,287,7955.55,92
L1_int_pread,14,115.54,2.04,177,286,8013.56,92
L1_int_pread,15,114.19,2.00,177,286,8051.86,92
L1_int_pread,16,111.85,2.01,177,286,8079.02,92
L1_int_pread,17,114.69,2.01,177,286,8016.91,92
L1_int_pread,18,108.57,2.05,177,286,8012.18,92
L1_int_pread,19,112.30,2.04,177,286,7988.20,92
L1_int_pread,20,112.08,2.02,177,286,7999.18,92
L1_int_pread,21,113.61,2.01,177,286,8073.57,92
L1_int_pread,22,109.12,2.02,177,286,7987.10,92
L1_int_pread,23,112.69,2.04,177,286,7978.13,92
L1_int_pread,24,118.97,2.00,177,286,7909.83,92
L1_int_pread,25,122.98,2.04,177,286,8017.83,92
L1_int_pread,26,118.68,2.03,177,286,7984.42,92
L1_int_pread,27,111.82,2.01,177,286,8079.81,92
L1_int_pread,28,119.92,2.02,177,286,7976.54,92
L1_int_pread,29,118.77,2.06,177,286,7982.36,92
L1_int_pread,30,112.75,2.03,177,286,7983.17,92
L1_int_fadvise,1,291.97,2.07,178,283,171.82,92
L1_int_fadvise,2,302.00,2.05,178,283,166.73,92
L1_int_fadvise,3,340.33,2.03,178,283,159.14,92
