mode,rep,first_query_us,prefetched
off,1,191.81,0
off,2,188.26,0
off,3,186.09,0
off,4,186.31,0
off,5,186.53,0
off,6,185.70,0
off,7,203.22,0
off,8,205.42,0
off,9,189.66,0
off,10,187.51,0
off,11,187.14,0
off,12,185.48,0
off,13,185.11,0
off,14,186.89,0
off,15,185.79,0
off,16,185.64,0
off,17,185.93,0
off,18,185.42,0
off,19,186.86,0
off,20,185.47,0
off,21,185.59,0
off,22,185.40,0
off,23,186.49,0
off,24,185.96,0
off,25,185.73,0
off,26,185.86,0
off,27,186.32,0
off,28,185.75,0
off,29,185.61,0
off,30,189.35,0
ahead,1,614.85,499
ahead,2,200.96,499
ahead,3,400.34,499
ahead,4,447.58,499
ahead,5,488.75,499
ahead,6,330.51,499
ahead,7,438.62,499
ahead,8,342.90,499
ahead,9,282.84,499
ahead,10,406.21,499
ahead,11,496.42,499
ahead,12,514.12,499
ahead,13,335.11,499
ahead,14,249.47,499
ahead,15,415.10,499
ahead,16,377.91,499
ahead,17,504.21,499
ahead,18,334.58,499
ahead,19,279.45,499
ahead,20,407.05,499
ahead,21,366.79,499
ahead,22,603.29,499
ahead,23,305.12,499
ahead,24,457.42,499
ahead,25,288.11,499
ahead,26,271.54,499
ahead,27,403.34,499
ahead,28,687.19,499
ahead,29,415.66,499
ahead,30,313.96,499
fanout,1,7578.33,499
fanout,2,7659.44,499
fanout,3,7263.81,499
fanout,4,7241.74,499
fanout,5,7599.82,499
fanout,6,7284.10,499
fanout,7,9848.39,499
fanout,8,7532.06,499
fanout,9,7665.76,499
fanout,10,7519.99,499
fanout,11,7576.58,499
fanout,12,7390.72,499
fanout,13,7617.34,499
fanout,14,7587.91,499
fanout,15,7664.28,499
fanout,16,7583.51,499
fanout,17,7644.24,499
fanout,18,7617.65,499
fanout,19,7617.45,499
fanout,20,7643.95,499
fanout,21,7605.45,499
fanout,22,7463.36,499
fanout,23,7514.11,499
fanout,24,7691.72,499
fanout,25,7413.00,499
fanout,26,7495.74,499
fanout,27,7734.00,499
fanout,28,7446.58,499
fanout,29,7679.59,499
fanout,30,7703.81,499
