db,strategy,rep,first_query_us,avg_us,majflt,minflt
orig,baseline,1,322.87,1.79,180,270
orig,baseline,2,318.21,1.77,180,270
orig,baseline,3,300.32,1.81,180,270
orig,range,1,370.31,1.78,178,281
orig,range,2,298.04,1.77,178,282
orig,range,3,370.41,1.78,178,281
orig,perpage,1,296.60,1.77,178,281
orig,perpage,2,319.28,1.79,178,282
orig,perpage,3,359.62,1.75,178,282
orig,layers5,1,227.32,1.82,180,271
orig,layers5,2,223.56,1.77,180,271
orig,layers5,3,217.70,1.79,180,271
ta,baseline,1,398.68,1.83,177,276
ta,baseline,2,409.76,1.80,177,276
ta,baseline,3,404.01,1.78,177,276
ta,range,1,345.61,1.77,176,276
ta,range,2,387.28,1.79,176,275
ta,range,3,397.41,1.80,176,275
ta,perpage,1,270.71,1.79,176,275
ta,perpage,2,297.06,1.78,176,275
ta,perpage,3,272.61,1.76,176,276
ta,layers5,1,127.42,1.78,177,275
ta,layers5,2,126.62,1.80,177,275
ta,layers5,3,127.14,1.78,177,275
vacuum,baseline,1,342.40,1.72,142,219
vacuum,baseline,2,332.45,1.74,142,219
vacuum,baseline,3,333.42,1.74,142,219
vacuum,range,1,375.14,1.70,142,228
vacuum,range,2,330.26,1.70,142,228
vacuum,range,3,321.68,1.71,142,228
vacuum,perpage,1,336.89,1.70,142,228
vacuum,perpage,2,342.56,1.74,142,229
vacuum,perpage,3,338.32,1.70,142,228
vacuum,layers5,1,236.27,1.72,143,219
vacuum,layers5,2,234.05,1.71,143,219
vacuum,layers5,3,231.60,1.69,143,219
