workload,db,strategy,rep,first_query_us,avg_us,majflt,minflt
B,orig,baseline,1,463.18,1.83,181,273
B,orig,baseline,2,476.17,1.81,181,273
B,orig,baseline,3,454.69,1.89,181,273
B,orig,range,1,318.34,1.82,181,277
B,orig,range,2,349.79,1.82,181,277
B,orig,range,3,358.75,1.81,181,277
B,orig,perpage,1,376.66,1.83,181,278
B,orig,perpage,2,383.76,1.86,181,278
B,orig,perpage,3,350.31,1.82,181,278
B,orig,layers5,1,240.91,1.81,182,272
B,orig,layers5,2,243.71,1.81,182,272
B,orig,layers5,3,249.02,1.82,182,272
B,vacuum,baseline,1,505.47,1.77,144,237
B,vacuum,baseline,2,502.79,1.81,144,237
B,vacuum,baseline,3,502.55,1.77,144,237
B,vacuum,range,1,346.70,1.78,145,235
B,vacuum,range,2,313.35,1.81,145,235
B,vacuum,range,3,327.61,1.76,145,235
B,vacuum,perpage,1,381.60,1.75,145,235
B,vacuum,perpage,2,304.61,1.77,145,235
B,vacuum,perpage,3,324.64,1.75,145,235
B,vacuum,layers5,1,250.26,1.76,143,235
B,vacuum,layers5,2,245.90,1.78,143,235
B,vacuum,layers5,3,271.48,1.78,143,235
C,orig,baseline,1,460.43,1.52,24,25
C,orig,baseline,2,466.90,1.52,24,25
C,orig,baseline,3,467.44,1.51,24,25
C,orig,range,1,342.04,1.54,24,25
C,orig,range,2,307.49,1.51,24,25
C,orig,range,3,352.04,1.50,24,26
C,orig,perpage,1,347.74,1.49,24,25
C,orig,perpage,2,328.87,1.50,24,25
C,orig,perpage,3,343.08,1.49,24,25
C,orig,layers5,1,406.36,1.53,24,25
C,orig,layers5,2,404.84,1.51,24,25
C,orig,layers5,3,407.48,1.49,24,25
C,vacuum,baseline,1,435.93,1.45,14,33
C,vacuum,baseline,2,475.33,1.46,14,33
C,vacuum,baseline,3,437.44,1.49,14,33
C,vacuum,range,1,368.45,1.44,14,36
C,vacuum,range,2,279.63,1.44,14,36
C,vacuum,range,3,372.09,1.45,14,37
C,vacuum,perpage,1,383.82,1.47,14,36
C,vacuum,perpage,2,383.63,1.48,14,36
C,vacuum,perpage,3,358.73,1.43,14,36
C,vacuum,layers5,1,405.03,1.44,14,33
C,vacuum,layers5,2,414.95,1.46,14,33
C,vacuum,layers5,3,408.07,1.45,14,33
