workload,N,rep,first_query_us,avg_us,majflt,minflt
B,0,1,470.07,1.82,181,273
B,0,2,479.12,1.81,181,273
B,0,3,465.38,1.85,181,273
B,1,1,402.96,1.81,182,271
B,1,2,399.17,1.87,182,271
B,1,3,410.28,1.84,182,271
B,5,1,247.32,1.82,182,273
B,5,2,238.59,1.83,182,272
B,5,3,246.38,1.90,182,272
B,10,1,240.90,1.84,182,270
B,10,2,249.38,1.83,182,270
B,10,3,244.15,1.84,182,270
B,20,1,239.00,1.86,181,278
B,20,2,244.58,1.82,181,278
B,20,3,250.60,1.88,181,277
B,46,1,241.72,1.82,181,278
B,46,2,243.28,1.86,181,278
B,46,3,233.52,1.80,181,278
B,92,1,243.82,1.82,181,277
B,92,2,242.12,1.83,181,278
B,92,3,242.92,1.86,181,277
C,0,1,496.33,1.53,24,25
C,0,2,474.01,1.50,24,25
C,0,3,491.37,1.51,24,25
C,1,1,414.16,1.50,24,25
C,1,2,398.46,1.51,24,25
C,1,3,417.30,1.50,24,25
C,5,1,410.92,1.54,24,25
C,5,2,418.55,1.53,24,25
C,5,3,442.77,1.53,24,25
C,10,1,405.60,1.49,24,25
C,10,2,419.00,1.51,24,25
C,10,3,402.07,1.51,24,26
C,20,1,413.09,1.53,24,25
C,20,2,411.10,1.52,24,25
C,20,3,401.62,1.52,24,25
C,46,1,407.21,1.51,24,25
C,46,2,421.28,1.51,24,25
C,46,3,420.20,1.49,24,25
C,92,1,255.35,1.50,24,25
C,92,2,264.72,1.54,24,25
C,92,3,306.59,1.52,24,26
