workload,N,rep,first_query_us,avg_us,majflt,minflt
A,0,1,350.36,1.75,142,219
A,0,2,333.53,1.76,142,219
A,0,3,339.42,1.70,142,219
A,1,1,422.65,1.71,142,218
A,1,2,396.80,1.73,142,219
A,1,3,404.94,1.71,142,218
A,5,1,244.15,1.70,143,219
A,5,2,243.33,1.71,143,219
A,5,3,242.36,1.73,143,219
A,10,1,243.55,1.74,143,224
A,10,2,245.84,1.75,143,224
A,10,3,245.70,1.71,143,225
A,20,1,236.15,1.72,142,228
A,20,2,232.90,1.73,142,228
A,20,3,234.26,1.76,142,228
A,46,1,239.59,1.70,142,228
A,46,2,247.91,1.72,142,228
A,46,3,248.80,1.76,142,228
A,92,1,238.63,1.72,142,229
A,92,2,241.15,1.76,142,228
A,92,3,241.92,1.69,142,228
B,0,1,494.15,1.81,144,237
B,0,2,503.30,1.75,144,237
B,0,3,497.18,1.78,144,237
B,1,1,414.67,1.78,144,235
B,1,2,413.39,1.78,144,235
B,1,3,413.89,1.79,144,235
B,5,1,253.18,1.77,143,235
B,5,2,259.62,1.78,143,235
B,5,3,249.89,1.84,143,235
B,10,1,246.73,1.77,145,235
B,10,2,250.87,1.78,145,235
B,10,3,242.91,1.76,145,235
B,20,1,245.76,1.78,145,235
B,20,2,245.45,1.80,145,235
B,20,3,252.59,1.79,145,235
B,46,1,257.06,1.78,145,235
B,46,2,248.19,1.76,145,235
B,46,3,254.58,1.81,145,235
B,92,1,251.76,1.80,145,235
B,92,2,252.41,1.79,145,235
B,92,3,253.98,1.82,145,235
C,0,1,452.03,1.44,14,33
C,0,2,429.29,1.44,14,33
C,0,3,433.62,1.46,14,34
C,1,1,461.68,1.44,14,33
C,1,2,416.84,1.43,14,33
C,1,3,407.37,1.43,14,33
C,5,1,405.50,1.45,14,33
C,5,2,407.25,1.42,14,33
C,5,3,410.99,1.45,14,33
C,10,1,410.64,1.43,14,34
C,10,2,405.69,1.43,14,33
C,10,3,405.00,1.46,14,33
C,20,1,423.89,1.47,14,33
C,20,2,407.23,1.45,14,33
C,20,3,428.41,1.46,14,33
C,46,1,407.57,1.44,14,33
C,46,2,415.24,1.48,14,33
C,46,3,410.43,1.46,14,33
C,92,1,241.78,1.44,14,36
C,92,2,245.75,1.44,14,36
C,92,3,246.86,1.47,14,36
