workload,N,first_q_median,first_q_min,first_q_max,avg_us_median,majflt,minflt
B,0,470.07,465.38,479.12,1.82,181,273
B,1,402.96,399.17,410.28,1.84,182,271
B,5,246.38,238.59,247.32,1.83,182,273
B,10,244.15,240.90,249.38,1.84,182,270
B,20,244.58,239.00,250.60,1.86,181,278
B,46,241.72,233.52,243.28,1.82,181,278
B,92,242.92,242.12,243.82,1.83,181,277
C,0,491.37,474.01,496.33,1.51,24,25
C,1,414.16,398.46,417.30,1.50,24,25
C,5,418.55,410.92,442.77,1.53,24,25
C,10,405.60,402.07,419.00,1.51,24,25
C,20,411.10,401.62,413.09,1.52,24,25
C,46,420.20,407.21,421.28,1.51,24,25
C,92,264.72,255.35,306.59,1.52,24,25
