label,ops,N=0,N=1,N=5,N=10,N=20,N=46,N=92
baseline,0,406.71,421.69,386.58,382.78,389.33,384.50,209.38
checkpoint_001,5000,386.67,419.67,443.39,523.19,330.84,395.68,201.98
checkpoint_002,10000,450.30,416.92,408.24,464.75,403.34,422.14,202.67
checkpoint_003,15000,433.01,409.15,395.56,437.32,390.08,392.60,232.04
checkpoint_004,20000,460.24,402.84,379.79,363.79,390.53,323.38,208.46
checkpoint_005,25000,501.73,465.18,388.26,430.80,451.90,408.13,176.17
checkpoint_006,30000,431.32,461.74,405.84,393.44,392.27,391.66,218.06
checkpoint_007,35000,427.81,410.51,343.50,362.21,377.67,353.87,227.43
checkpoint_008,40000,491.77,504.07,466.39,409.46,450.53,452.97,193.48
checkpoint_009,45000,488.00,502.80,405.36,425.53,495.96,462.66,229.08
checkpoint_010,50000,549.46,497.20,495.89,438.84,497.83,456.06,242.13
