workload,db,strategy,arm,n,ra_kb,fq_median,fq_p95,fq_min,fq_stdev,delivery_pct_median,preproc_us_median,e2e_median,cold_pct_max
A,orig,2d,async,5,128,331.51,367.76,304.17,25.99,100.0,315.22,645.38,0.0
A,orig,2d,pread,1,128,153.78,,153.78,0,100.0,1882.53,2036.31,0.0
A,orig,2e_K10,async,5,128,334.57,381.11,296.25,32.75,100.0,285.26,620.88,0.0
A,orig,2e_K10,pread,1,128,156.31,,156.31,0,100.0,2688.22,2844.53,0.0
A,orig,2e_K100,async,5,128,248.31,257.96,233.74,8.46,100.0,417.39,664.14,0.0
A,orig,2e_K100,pread,1,128,157.39,,157.39,0,100.0,10383.78,10541.17,0.0
A,orig,2e_K40,async,5,128,331.29,333.34,298.77,14.28,100.0,324.89,656.07,0.0
A,orig,2e_K40,pread,1,128,156.48,,156.48,0,100.0,5140.60,5297.08,0.0
A,orig,2e_K50,async,5,128,333.05,376.23,308.96,26.88,100.0,338.39,672.34,0.0
A,orig,2e_K50,pread,1,128,154.66,,154.66,0,100.0,5971.21,6125.87,0.0
A,orig,2e_K500,async,5,128,156.35,162.09,151.94,4.11,100.0,1090.07,1252.36,0.0
A,orig,2e_K500,pread,1,128,163.99,,163.99,0,100.0,20614.30,20778.29,0.0
A,orig,2e_K92,async,5,128,243.78,251.67,218.21,14.21,100.0,402.16,649.63,0.0
A,orig,2e_K92,pread,1,128,153.77,,153.77,0,100.0,9648.46,9802.23,0.0
A,ta,2d,async,5,128,453.46,458.84,437.96,9.10,72.1,302.37,756.50,0.0
A,ta,2d,pread,1,128,196.75,,196.75,0,100.0,1011.80,1208.55,0.0
A,ta,2e_K10,async,5,128,397.72,402.72,390.70,4.36,77.4,318.79,717.88,0.0
A,ta,2e_K10,pread,1,128,195.95,,195.95,0,100.0,2033.15,2229.10,0.0
A,ta,2e_K100,async,5,128,512.38,769.34,377.09,150.18,45.5,433.44,945.82,0.0
A,ta,2e_K100,pread,1,128,196.48,,196.48,0,100.0,15915.25,16111.73,0.0
A,ta,2e_K40,async,5,128,392.90,399.82,374.71,8.83,84.3,354.13,747.03,0.0
A,ta,2e_K40,pread,1,128,197.23,,197.23,0,100.0,4733.67,4930.90,0.0
A,ta,2e_K50,async,5,128,395.11,399.62,391.26,3.15,93.5,373.04,770.18,0.0
A,ta,2e_K50,pread,1,128,199.43,,199.43,0,100.0,6226.53,6425.96,0.0
A,ta,2e_K500,async,5,128,201.39,267.14,188.58,34.12,37.6,988.68,1195.69,0.0
A,ta,2e_K500,pread,1,128,192.49,,192.49,0,100.0,17943.78,18136.27,0.0
A,ta,2e_K92,async,5,128,786.42,906.04,708.15,80.28,45.9,429.16,1216.58,0.0
A,ta,2e_K92,pread,1,128,191.04,,191.04,0,100.0,15573.41,15764.45,0.0
A,vacuum,2d,async,5,128,560.21,565.51,550.68,5.57,100.0,265.00,826.60,0.0
