workload,db,strategy,arm,ra_kb,rep,warmup,cold_pct,delivery_pct,first_query_us,preproc_us,open_us,deliver_us,e2e_us,e2e_warm_us,avg_us,majflt,minflt,load,memavail_kb
A,orig,baseline,baseline,128,1,1,0.00,0.00,551.75,0.00,0.00,0.00,551.75,551.75,2.09,180.00,270.00,0.16,51815192
A,vacuum,baseline,baseline,128,1,1,0.00,0.00,723.35,0.00,0.00,0.00,723.35,723.35,1.95,142.00,219.00,0.16,51816768
A,ta,baseline,baseline,128,1,1,0.00,0.00,699.08,0.00,0.00,0.00,699.08,699.08,2.08,177.00,277.00,0.16,51818692
B,orig,baseline,baseline,128,1,1,0.00,0.00,762.66,0.00,0.00,0.00,762.66,762.66,2.16,181.00,273.00,0.16,51819948
B,vacuum,baseline,baseline,128,1,1,0.00,0.00,1030.59,0.00,0.00,0.00,1030.59,1030.59,2.00,144.00,237.00,0.16,51819636
B,ta,baseline,baseline,128,1,1,0.00,0.00,811.64,0.00,0.00,0.00,811.64,811.64,2.20,182.00,277.00,0.16,51784796
C,orig,baseline,baseline,128,1,1,0.00,0.00,1102.60,0.00,0.00,0.00,1102.60,1102.60,1.56,24.00,25.00,0.16,51786416
C,vacuum,baseline,baseline,128,1,1,0.00,0.00,992.01,0.00,0.00,0.00,992.01,992.01,1.48,14.00,33.00,0.16,51787228
C,ta,baseline,baseline,128,1,1,0.00,0.00,888.07,0.00,0.00,0.00,888.07,888.07,1.55,25.00,27.00,0.16,51786500
A,orig,layers_5,pread,128,1,1,0.00,100.00,207.69,626.93,190.76,436.17,834.62,643.86,2.08,180.00,271.00,0.16,51786936
A,orig,layers_5,async,128,1,1,0.00,100.00,384.13,267.90,199.65,68.26,652.03,452.39,2.06,180.00,271.00,0.16,51787492
A,orig,layers_92,pread,128,1,1,0.00,100.00,208.33,8230.10,197.59,8032.51,8438.43,8240.84,2.07,177.00,286.00,0.16,51790232
A,orig,layers_92,async,128,1,1,0.00,100.00,384.54,386.79,199.29,187.49,771.33,572.03,2.04,178.00,283.00,0.16,51789984
A,orig,2d,pread,128,1,1,0.00,100.00,209.29,1921.33,224.17,1697.16,2130.62,1906.45,2.06,177.00,286.00,0.23,51790656
A,orig,2d,async,128,1,1,0.00,100.00,356.16,309.44,224.50,84.94,665.60,441.10,2.06,178.00,283.00,0.23,51792040
A,orig,2e_K10,pread,128,1,1,0.00,100.00,209.05,2673.47,178.80,2494.67,2882.52,2703.72,2.07,181.00,287.00,0.23,51791868
A,orig,2e_K10,async,128,1,1,0.00,100.00,382.89,288.53,192.87,95.66,671.42,478.55,2.08,181.00,287.00,0.23,51792060
A,orig,2e_K500,pread,128,1,1,0.00,100.00,212.48,21177.26,178.88,20998.38,21389.74,21210.86,2.00,168.00,428.00,0.23,51794060
A,orig,2e_K500,async,128,1,1,0.00,100.00,209.57,1025.39,194.06,831.33,1234.96,1040.90,2.03,179.00,414.00,0.23,51794924
A,orig,2f_slru,pread,128,1,1,0.00,100.00,125.92,17723.22,149.27,17573.94,17849.14,17699.86,1.49,0.00,278.00,0.23,51795600
A,orig,2f_slru,async,128,1,1,0.00,100.00,126.25,7397.09,225.56,7171.52,7523.34,7297.77,1.51,0.00,278.00,0.23,51793232
A,vacuum,layers_5,pread,128,1,1,0.00,100.00,208.32,733.18,150.91,582.26,941.50,790.58,1.96,143.00,221.00,0.23,51796096
A,vacuum,layers_5,async,128,1,1,0.00,100.00,576.48,295.12,230.63,64.48,871.60,640.96,1.96,143.00,219.00,0.23,51796952
