workload,strategy,metric,unlimited,16M,12M,8M,6M,working_set_MB
A,baseline,first_query_us,502.07,503.49,498.75,497.67,615.46,17.3
A,baseline,delivery_pct,0.0,0.0,0.0,0.0,0.0,17.3
A,2e_K10,first_query_us,402.32,362.25,352.58,371.79,357.43,17.3
A,2e_K10,delivery_pct,100.0,100.0,100.0,100.0,100.0,17.3
A,2e_K500,first_query_us,178.98,182.72,178.18,179.95,178.85,17.3
A,2e_K500,delivery_pct,100.0,100.0,100.0,100.0,100.0,17.3
A,2f_slru,first_query_us,94.51,490.23,487.44,483.79,488.96,17.3
A,2f_slru,delivery_pct,100.0,77.4,54.3,32.2,18.7,17.3
B,baseline,first_query_us,723.08,735.04,733.96,727.71,737.01,17.3
B,baseline,delivery_pct,0.0,0.0,0.0,0.0,0.0,17.3
B,2e_K10,first_query_us,407.58,410.82,405.29,404.28,405.76,17.3
B,2e_K10,delivery_pct,100.0,100.0,100.0,100.0,100.0,17.3
B,2e_K500,first_query_us,452.03,453.28,448.31,451.06,450.93,17.3
B,2e_K500,delivery_pct,100.0,100.0,100.0,100.0,100.0,17.3
B,2f_slru,first_query_us,96.33,740.79,734.89,723.53,716.21,17.3
B,2f_slru,delivery_pct,100.0,77.9,55.9,31.2,17.1,17.3
