workload,db,strategy,arm,n,ra_kb,fq_median,fq_p95,fq_min,fq_stdev,delivery_pct_median,preproc_us_median,open_us_median,deliver_us_median,e2e_median,e2e_warm_median,cold_pct_max
A,orig,2e_K10,async,5,128,352.58,380.29,323.59,19.99,100.0,273.35,175.71,97.64,597.20,450.88,0.0
A,orig,2e_K10,pread,2,128,175.61,,171.43,4.18,100.0,2641.51,139.06,2502.44,2817.11,2678.06,0.0
A,orig,2e_K500,async,5,128,178.18,180.80,177.03,1.49,100.0,985.91,176.16,829.20,1165.33,1006.23,0.0
A,orig,2e_K500,pread,2,128,179.93,,179.88,0.05,100.0,21407.12,140.72,21266.40,21587.05,21446.33,0.0
A,orig,2f_slru,async,5,128,487.44,494.93,419.69,28.11,54.3,7750.74,176.23,7611.49,8238.18,8098.93,0.0
A,orig,2f_slru,pread,2,128,538.27,,470.64,67.63,52.9,18165.94,140.20,18025.73,18704.21,18564.01,0.0
A,orig,baseline,baseline,3,128,498.75,,497.38,8.20,0.0,0.00,0.00,0.00,498.75,498.75,0.0
B,orig,2e_K10,async,5,128,405.29,411.28,402.16,3.40,100.0,272.64,175.78,97.05,677.93,502.15,0.0
B,orig,2e_K10,pread,2,128,402.81,,397.25,5.56,100.0,2771.52,139.46,2632.06,3174.33,3034.87,0.0
B,orig,2e_K500,async,5,128,448.31,452.20,447.32,1.96,100.0,1060.00,175.89,881.74,1508.27,1330.01,0.0
B,orig,2e_K500,pread,2,128,429.39,,407.32,22.08,100.0,19034.59,140.71,18893.88,19463.99,19323.27,0.0
B,orig,2f_slru,async,5,128,734.89,742.16,724.88,6.67,55.9,7754.29,177.24,7576.44,8496.67,8318.82,0.0
B,orig,2f_slru,pread,2,128,720.09,,708.17,11.92,53.7,18729.40,139.14,18590.26,19449.49,19310.34,0.0
B,orig,baseline,baseline,3,128,733.96,,723.27,7.35,0.0,0.00,0.00,0.00,733.96,733.96,0.0
