workload,db,strategy,arm,ra_kb,rep,warmup,cold_pct,delivery_pct,first_query_us,preproc_us,open_us,deliver_us,e2e_us,e2e_warm_us,avg_us,majflt,minflt,load,memavail_kb
A,orig,baseline,baseline,128,1,1,0.00,0.00,501.48,0.00,0.00,0.00,501.48,501.48,223.79,59519.00,8078.00,1.15,55598472
B,orig,baseline,baseline,128,1,1,0.00,0.00,730.15,0.00,0.00,0.00,730.15,730.15,288.34,76470.00,10454.00,1.10,55593460
A,orig,2e_K10,pread,128,1,1,0.00,100.00,178.88,2692.52,182.96,2509.56,2871.40,2688.44,218.35,58447.00,8300.00,1.06,55605944
A,orig,2e_K10,async,128,1,1,0.00,100.00,357.94,276.22,180.80,95.42,634.16,453.36,218.82,58369.00,8325.00,1.12,55603560
A,orig,2e_K500,pread,128,1,1,0.00,100.00,182.64,21518.53,144.79,21373.74,21701.17,21556.38,219.88,58682.00,8286.00,1.13,55612484
A,orig,2e_K500,async,128,1,1,0.00,100.00,185.70,999.04,166.44,832.59,1184.74,1018.29,218.52,58307.00,8380.00,1.18,55602940
A,orig,2f_slru,pread,128,1,1,0.00,18.10,479.88,18908.60,180.80,18727.80,19388.48,19207.68,222.09,58908.00,8212.00,1.12,55607572
A,orig,2f_slru,async,128,1,1,0.00,18.90,489.44,8811.67,177.07,8634.60,9301.11,9124.04,222.84,59222.00,8116.00,1.08,55609384
B,orig,2e_K10,pread,128,1,1,0.00,100.00,416.48,2842.71,147.60,2695.11,3259.19,3111.59,285.20,75997.00,10607.00,1.10,55598900
B,orig,2e_K10,async,128,1,1,0.00,100.00,403.81,233.43,137.74,95.69,637.24,499.50,285.21,76044.00,10571.00,1.12,55601488
B,orig,2e_K500,pread,128,1,1,0.00,100.00,402.82,19834.18,146.88,19687.31,20237.00,20090.13,284.86,76181.00,10551.00,1.07,55613176
B,orig,2e_K500,async,128,1,1,0.00,100.00,398.12,1024.21,139.43,884.78,1422.33,1282.90,285.45,76130.00,10547.00,1.04,55606840
B,orig,2f_slru,pread,128,1,1,0.00,19.60,838.66,18533.92,182.93,18350.99,19372.58,19189.65,283.89,76035.00,10582.00,1.03,55592936
B,orig,2f_slru,async,128,1,1,0.00,16.40,719.73,8797.11,180.16,8616.95,9516.84,9336.68,286.56,76321.00,10512.00,1.08,55597516
A,orig,baseline,baseline,128,2,0,0.00,0.00,615.46,0.00,0.00,0.00,615.46,615.46,221.50,59018.00,8169.00,1.05,55601104
B,orig,baseline,baseline,128,2,0,0.00,0.00,737.01,0.00,0.00,0.00,737.01,737.01,287.37,76457.00,10451.00,1.03,55587488
A,orig,2e_K10,pread,128,2,0,0.00,100.00,183.07,2669.03,178.11,2490.91,2852.10,2673.98,220.38,58814.00,8230.00,1.10,55592468
A,orig,2e_K10,async,128,2,0,0.00,100.00,352.24,279.25,175.28,103.98,631.49,456.22,219.27,58475.00,8307.00,1.07,55591076
A,orig,2e_K500,pread,128,2,0,0.00,100.00,179.18,21311.69,174.03,21137.66,21490.87,21316.84,219.65,58487.00,8341.00,1.05,55603292
A,orig,2e_K500,async,128,2,0,0.00,100.00,178.85,1013.77,176.18,837.59,1192.62,1016.44,221.62,58968.00,8157.00,1.11,55608076
A,orig,2f_slru,pread,128,2,0,0.00,21.00,608.89,18837.88,177.77,18660.11,19446.77,19269.00,219.81,58598.00,8278.00,1.07,55609844
A,orig,2f_slru,async,128,2,0,0.00,18.70,491.52,8899.79,177.77,8722.02,9391.31,9213.54,220.69,58740.00,8270.00,1.05,55603096
