workload,db,strategy,arm,ra_kb,rep,warmup,cold_pct,delivery_pct,first_query_us,preproc_us,open_us,deliver_us,e2e_us,e2e_warm_us,avg_us,majflt,minflt,load,memavail_kb
A,orig,baseline,baseline,128,1,1,0.00,0.00,524.70,0.00,0.00,0.00,524.70,524.70,2.12,180.00,270.00,0.19,55836180
B,orig,baseline,baseline,128,1,1,0.00,0.00,732.62,0.00,0.00,0.00,732.62,732.62,2.22,181.00,273.00,0.19,55839404
A,orig,2e_K10,pread,128,1,1,0.00,100.00,178.24,2599.62,137.61,2462.02,2777.86,2640.26,2.15,181.00,287.00,0.19,55838340
A,orig,2e_K10,async,128,1,1,0.00,100.00,349.89,241.76,135.65,106.11,591.65,456.00,2.13,181.00,287.00,0.19,55838972
A,orig,2e_K500,pread,128,1,1,0.00,100.00,186.82,21283.92,146.10,21137.81,21470.74,21324.63,2.04,168.00,427.00,0.19,55840236
A,orig,2e_K500,async,128,1,1,0.00,100.00,181.57,977.53,146.86,830.67,1159.10,1012.24,2.19,179.00,416.00,0.19,55841188
A,orig,2f_slru,pread,128,1,1,0.00,100.00,97.63,18187.92,147.95,18039.97,18285.55,18137.60,1.55,0.00,278.00,0.19,55840440
A,orig,2f_slru,async,128,1,1,0.00,100.00,95.16,7253.68,143.45,7110.23,7348.84,7205.39,1.55,0.00,278.00,0.26,55837416
B,orig,2e_K10,pread,128,1,1,0.00,100.00,412.52,2871.61,175.73,2695.88,3284.13,3108.40,2.21,180.00,282.00,0.26,55839148
B,orig,2e_K10,async,128,1,1,0.00,100.00,407.83,275.70,176.14,99.56,683.53,507.39,2.20,181.00,280.00,0.26,55841072
B,orig,2e_K500,pread,128,1,1,0.00,100.00,424.15,18968.64,176.15,18792.49,19392.79,19216.64,2.22,168.00,385.00,0.26,55838920
B,orig,2e_K500,async,128,1,1,0.00,100.00,450.64,1028.89,176.78,852.11,1479.53,1302.75,2.16,186.00,322.00,0.26,55843732
B,orig,2f_slru,pread,128,1,1,0.00,100.00,101.96,18047.92,66.02,17981.89,18149.88,18083.85,1.66,0.00,278.00,0.26,55844424
B,orig,2f_slru,async,128,1,1,0.00,100.00,101.09,7318.61,176.02,7142.59,7419.70,7243.68,1.62,0.00,278.00,0.26,55842084
A,orig,baseline,baseline,128,2,0,0.00,0.00,502.07,0.00,0.00,0.00,502.07,502.07,2.12,180.00,270.00,0.26,55845832
B,orig,baseline,baseline,128,2,0,0.00,0.00,723.08,0.00,0.00,0.00,723.08,723.08,2.20,181.00,273.00,0.26,55843024
A,orig,2e_K10,pread,128,2,0,0.00,100.00,178.04,2567.87,168.75,2399.12,2745.91,2577.16,2.16,181.00,287.00,0.26,55831568
A,orig,2e_K10,async,128,2,0,0.00,100.00,372.75,267.28,169.77,97.51,640.03,470.26,2.18,181.00,287.00,0.26,55818892
A,orig,2e_K500,pread,128,2,0,0.00,100.00,177.15,20941.09,169.04,20772.06,21118.24,20949.21,2.05,168.00,427.00,0.26,55819076
A,orig,2e_K500,async,128,2,0,0.00,100.00,181.16,1007.54,169.10,838.45,1188.70,1019.61,2.09,179.00,413.00,0.26,55819404
A,orig,2f_slru,pread,128,2,0,0.00,100.00,90.49,21247.42,168.43,21078.99,21337.91,21169.48,1.56,0.00,278.00,0.26,55820052
A,orig,2f_slru,async,128,2,0,0.00,100.00,94.51,7280.00,166.76,7113.24,7374.51,7207.75,1.56,0.00,278.00,0.26,55818200
B,orig,2e_K10,pread,128,2,0,0.00,100.00,410.86,5334.70,506.32,4828.38,5745.56,5239.24,2.20,180.00,282.00,0.26,55820832
B,orig,2e_K10,async,128,2,0,0.00,100.00,412.56,265.15,167.66,97.49,677.71,510.05,2.21,181.00,279.00,0.32,55822912
B,orig,2e_K500,pread,128,2,0,0.00,100.00,423.75,18238.61,167.09,18071.52,18662.36,18495.27,2.12,168.00,385.00,0.32,55822956
B,orig,2e_K500,async,128,2,0,0.00,100.00,454.37,1079.41,169.51,909.90,1533.78,1364.27,2.37,186.00,326.00,0.32,55823944
B,orig,2f_slru,pread,128,2,0,0.00,100.00,94.23,18738.73,171.12,18567.61,18832.96,18661.84,1.60,0.00,278.00,0.32,55824996
B,orig,2f_slru,async,128,2,0,0.00,100.00,94.55,7294.11,167.82,7126.28,7388.66,7220.83,1.62,0.00,278.00,0.32,55822940
A,orig,baseline,baseline,128,3,0,0.00,0.00,495.07,0.00,0.00,0.00,495.07,495.07,2.12,180.00,270.00,0.32,55825532
B,orig,baseline,baseline,128,3,0,0.00,0.00,724.39,0.00,0.00,0.00,724.39,724.39,2.16,181.00,273.00,0.32,55824848
A,orig,2e_K10,pread,128,3,0,0.00,100.00,178.34,2640.82,170.21,2470.61,2819.16,2648.95,2.20,181.00,287.00,0.32,55832848
A,orig,2e_K10,async,128,3,0,0.00,100.00,402.32,267.20,171.41,95.79,669.52,498.11,2.15,181.00,287.00,0.32,55833416
A,orig,2e_K500,pread,128,3,0,0.00,100.00,178.50,21652.22,171.03,21481.19,21830.72,21659.69,2.06,168.00,428.00,0.32,55829348
A,orig,2e_K500,async,128,3,0,0.00,100.00,179.45,985.57,168.97,816.60,1165.02,996.05,2.10,179.00,413.00,0.32,55829912
A,orig,2f_slru,pread,128,3,0,0.00,100.00,92.38,17809.16,169.10,17640.06,17901.54,17732.44,1.57,0.00,278.00,0.32,55830768
A,orig,2f_slru,async,128,3,0,0.00,100.00,96.09,7270.43,167.84,7102.60,7366.52,7198.69,1.55,0.00,278.00,0.32,55826200
B,orig,2e_K10,pread,128,3,0,0.00,100.00,413.11,2788.93,168.67,2620.26,3202.04,3033.37,2.18,180.00,283.00,0.32,55828540
B,orig,2e_K10,async,128,3,0,0.00,100.00,407.58,893.28,793.54,99.74,1300.86,507.32,2.18,181.00,280.00,0.32,55829400
B,orig,2e_K500,pread,128,3,0,0.00,100.00,451.24,18468.60,168.66,18299.94,18919.84,18751.18,2.17,168.00,384.00,0.32,55829924
B,orig,2e_K500,async,128,3,0,0.00,100.00,452.03,1066.74,171.43,895.31,1518.77,1347.34,2.20,186.00,326.00,0.32,55830472
B,orig,2f_slru,pread,128,3,0,0.00,100.00,93.09,27237.74,168.70,27069.04,27330.83,27162.13,1.61,0.00,278.00,0.37,55830732
B,orig,2f_slru,async,128,3,0,0.00,100.00,98.55,7366.51,167.51,7199.00,7465.06,7297.55,1.65,0.00,278.00,0.37,55828724
A,orig,baseline,baseline,128,4,0,0.00,0.00,510.72,0.00,0.00,0.00,510.72,510.72,2.15,180.00,270.00,0.37,55830504
B,orig,baseline,baseline,128,4,0,0.00,0.00,717.08,0.00,0.00,0.00,717.08,717.08,2.22,181.00,273.00,0.37,55831772
A,orig,2e_K10,async,128,4,0,0.00,100.00,333.07,270.56,170.18,100.38,603.63,433.45,2.13,181.00,287.00,0.37,55831576
A,orig,2e_K500,async,128,4,0,0.00,100.00,178.69,1000.40,168.86,831.54,1179.09,1010.23,2.27,179.00,415.00,0.37,55832716
A,orig,2f_slru,async,128,4,0,0.00,100.00,99.35,7145.63,167.49,6978.14,7244.98,7077.49,1.58,0.00,278.00,0.37,55829844
B,orig,2e_K10,async,128,4,0,0.00,100.00,399.05,265.85,167.72,98.12,664.90,497.17,2.20,181.00,280.00,0.37,55828332
B,orig,2e_K500,async,128,4,0,0.00,100.00,451.09,1099.23,226.67,872.57,1550.32,1323.66,2.20,186.00,328.00,0.37,55817972
B,orig,2f_slru,async,128,4,0,0.00,100.00,99.45,7111.28,170.01,6941.27,7210.73,7040.72,1.62,0.00,278.00,0.37,55813544
A,orig,2e_K10,async,128,5,0,0.00,100.00,406.06,269.17,172.57,96.59,675.23,502.65,2.19,181.00,287.00,0.37,55830584
A,orig,2e_K500,async,128,5,0,0.00,100.00,175.72,986.05,169.16,816.89,1161.77,992.61,2.08,179.00,413.00,0.37,55832948
A,orig,2f_slru,async,128,5,0,0.00,100.00,92.48,7083.21,169.30,6913.91,7175.69,7006.39,1.56,0.00,278.00,0.37,55828064
B,orig,2e_K10,async,128,5,0,0.00,100.00,414.59,266.54,169.10,97.44,681.13,512.03,2.18,181.00,279.00,0.37,55830720
B,orig,2e_K500,async,128,5,0,0.00,100.00,455.46,1039.13,169.64,869.49,1494.59,1324.95,2.15,186.00,327.00,0.37,55833712
B,orig,2f_slru,async,128,5,0,0.00,100.00,96.33,7055.09,169.25,6885.84,7151.42,6982.17,1.63,0.00,278.00,0.37,55830784
A,orig,2e_K10,async,128,6,0,0.00,100.00,403.65,264.08,167.34,96.73,667.73,500.38,2.10,181.00,287.00,0.42,55833396
A,orig,2e_K500,async,128,6,0,0.00,100.00,178.98,980.80,168.10,812.71,1159.78,991.69,2.08,179.00,414.00,0.42,55834756
A,orig,2f_slru,async,128,6,0,0.00,100.00,92.61,7020.11,167.82,6852.29,7112.72,6944.90,1.55,0.00,278.00,0.42,55831992
B,orig,2e_K10,async,128,6,0,0.00,100.00,403.40,268.83,172.79,96.04,672.23,499.44,2.15,181.00,279.00,0.42,55833236
B,orig,2e_K500,async,128,6,0,0.00,100.00,446.56,1022.30,168.21,854.10,1468.86,1300.66,2.16,186.00,324.00,0.42,55833720
B,orig,2f_slru,async,128,6,0,0.00,100.00,94.57,7033.02,168.02,6865.00,7127.59,6959.57,1.61,0.00,278.00,0.42,55830028
