workload,db,strategy,arm,n,ra_kb,fq_median,fq_p95,fq_min,fq_stdev,delivery_pct_median,preproc_us_median,open_us_median,deliver_us_median,e2e_median,e2e_warm_median,cold_pct_max
A,orig,2e_K10,async,5,128,402.32,405.58,333.07,28.03,100.0,267.28,170.18,96.73,667.73,498.11,0.0
A,orig,2e_K10,pread,2,128,178.19,,178.04,0.15,100.0,2604.35,169.48,2434.86,2782.53,2613.05,0.0
A,orig,2e_K500,async,5,128,178.98,180.82,175.72,1.76,100.0,986.05,168.97,816.89,1165.02,996.05,0.0
A,orig,2e_K500,pread,2,128,177.82,,177.15,0.67,100.0,21296.65,170.03,21126.62,21474.48,21304.45,0.0
A,orig,2f_slru,async,5,128,94.51,98.70,92.48,2.55,100.0,7145.63,167.82,6978.14,7244.98,7077.49,0.0
A,orig,2f_slru,pread,2,128,91.44,,90.49,0.95,100.0,19528.29,168.76,19359.53,19619.72,19450.96,0.0
A,orig,baseline,baseline,3,128,502.07,,495.07,6.40,0.0,0.00,0.00,0.00,502.07,502.07,0.0
B,orig,2e_K10,async,5,128,407.58,414.18,399.05,5.73,100.0,266.54,169.10,97.49,677.71,507.32,0.0
B,orig,2e_K10,pread,2,128,411.99,,410.86,1.12,100.0,4061.81,337.50,3724.32,4473.80,4136.31,0.0
B,orig,2e_K500,async,5,128,452.03,455.24,446.56,3.10,100.0,1066.74,169.64,872.57,1518.77,1324.95,0.0
B,orig,2e_K500,pread,2,128,437.50,,423.75,13.75,100.0,18353.60,167.88,18185.73,18791.10,18623.22,0.0
B,orig,2f_slru,async,5,128,96.33,99.27,94.55,2.01,100.0,7111.28,168.02,6941.27,7210.73,7040.72,0.0
B,orig,2f_slru,pread,2,128,93.66,,93.09,0.57,100.0,22988.24,169.91,22818.33,23081.90,22911.99,0.0
B,orig,baseline,baseline,3,128,723.08,,717.08,3.18,0.0,0.00,0.00,0.00,723.08,723.08,0.0
