workload,db,strategy,arm,ra_kb,rep,warmup,cold_pct,delivery_pct,first_query_us,preproc_us,open_us,deliver_us,e2e_us,e2e_warm_us,avg_us,majflt,minflt,load,memavail_kb
A,orig,baseline,baseline,128,1,1,0.00,0.00,2240.47,0.00,0.00,0.00,2240.47,2240.47,2.64,178.00,269.00,1.18,54926944
A,vacuum,baseline,baseline,128,1,1,0.00,0.00,1114.15,0.00,0.00,0.00,1114.15,1114.15,1.99,143.00,224.00,1.18,54930908
A,ta,baseline,baseline,128,1,1,0.00,0.00,735.06,0.00,0.00,0.00,735.06,735.06,2.10,176.00,280.00,1.18,54931940
B,orig,baseline,baseline,128,1,1,0.00,0.00,971.10,0.00,0.00,0.00,971.10,971.10,2.18,182.00,257.00,1.18,54932120
B,vacuum,baseline,baseline,128,1,1,0.00,0.00,1043.53,0.00,0.00,0.00,1043.53,1043.53,2.05,140.00,224.00,1.18,54933512
B,ta,baseline,baseline,128,1,1,0.00,0.00,912.88,0.00,0.00,0.00,912.88,912.88,2.23,180.00,265.00,1.18,54927264
C,orig,baseline,baseline,128,1,1,0.00,0.00,877.18,0.00,0.00,0.00,877.18,877.18,1.58,20.00,28.00,1.18,54928372
C,vacuum,baseline,baseline,128,1,1,0.00,0.00,1119.20,0.00,0.00,0.00,1119.20,1119.20,1.53,15.00,25.00,1.18,54927872
C,ta,baseline,baseline,128,1,1,0.00,0.00,840.20,0.00,0.00,0.00,840.20,840.20,1.60,21.00,28.00,1.18,54932380
A,orig,layers_5,pread,128,1,1,0.00,100.00,893.90,579.58,142.80,436.78,1473.48,1330.68,2.14,179.00,267.00,1.18,54933092
A,orig,layers_5,async,128,1,1,0.00,100.00,982.38,212.64,142.56,70.08,1195.02,1052.46,2.13,179.00,267.00,1.18,54933032
A,orig,layers_92,pread,128,1,1,0.00,100.00,606.75,8043.85,150.32,7893.52,8650.60,8500.27,2.12,177.00,281.00,1.18,54934264
A,orig,layers_92,async,128,1,1,0.00,100.00,572.47,347.59,148.92,198.67,920.06,771.14,2.17,177.00,279.00,1.18,54936424
A,orig,2d,pread,128,1,1,0.00,100.00,535.28,1850.47,145.96,1704.50,2385.75,2239.78,2.11,177.00,281.00,1.18,54936772
A,orig,2d,async,128,1,1,0.00,100.00,569.22,234.82,149.41,85.41,804.04,654.63,2.16,177.00,279.00,1.18,54940984
A,orig,2e_K10,pread,128,1,1,0.00,100.00,539.31,2682.09,149.31,2532.78,3221.40,3072.09,2.14,177.00,289.00,1.18,54948436
A,orig,2e_K10,async,128,1,1,0.00,100.00,468.43,248.85,148.79,100.06,717.28,568.49,2.10,177.00,286.00,1.17,54948832
A,orig,2e_K500,pread,128,1,1,0.00,100.00,589.01,18117.54,151.43,17966.11,18706.55,18555.12,2.06,167.00,456.00,1.17,54948836
