workload,db,strategy,arm,n,ra_kb,fq_median,fq_p95,fq_min,fq_stdev,delivery_pct_median,preproc_us_median,open_us_median,deliver_us_median,e2e_median,e2e_warm_median,cold_pct_max
A,orig,2d,async,10,128,598.70,606.05,595.12,3.77,100.0,311.86,225.16,86.00,911.63,685.26,0.0
A,orig,2d,pread,5,128,595.83,601.07,595.40,2.41,100.0,1934.00,225.34,1709.56,2533.74,2311.12,0.0
A,orig,2e_K10,async,10,128,208.74,213.53,205.66,2.59,100.0,324.36,224.41,98.88,533.69,308.78,0.0
A,orig,2e_K10,pread,5,128,210.47,212.42,209.71,1.06,100.0,2697.07,225.74,2470.99,2909.84,2683.76,0.0
A,orig,2e_K500,async,10,128,210.82,211.68,207.28,1.46,100.0,1049.09,225.22,824.70,1258.64,1034.81,0.0
A,orig,2e_K500,pread,5,128,210.29,211.36,202.49,3.28,100.0,23092.45,227.36,22861.47,23303.43,23072.45,0.0
A,orig,2f_slru,async,10,128,125.89,128.35,123.44,1.50,100.0,7154.62,224.62,6930.87,7279.40,7055.65,0.0
A,orig,2f_slru,pread,5,128,125.11,127.51,125.00,1.10,100.0,18502.03,225.42,18279.47,18627.03,18404.47,0.0
A,orig,baseline,baseline,10,128,972.15,1015.69,929.47,33.30,0.0,0.00,0.00,0.00,972.15,972.15,0.0
A,orig,layers_5,async,10,128,956.46,1613.19,933.37,354.13,100.0,292.36,223.61,68.95,1248.82,1025.60,0.0
A,orig,layers_5,pread,5,128,900.20,940.62,841.42,35.58,100.0,659.93,223.33,436.98,1558.96,1334.45,0.0
A,orig,layers_92,async,10,128,598.77,603.36,533.91,19.77,100.0,422.10,225.55,196.78,1020.09,794.22,0.0
A,orig,layers_92,pread,5,128,599.40,605.34,531.70,28.29,100.0,8129.21,226.10,7905.49,8691.31,8467.55,0.0
A,ta,2d,async,10,128,624.00,629.75,588.26,14.17,72.1,332.03,224.37,107.70,954.05,731.10,0.0
A,ta,2d,pread,5,128,612.13,614.13,608.13,2.13,100.0,1040.37,224.99,815.88,1651.29,1427.17,0.0
A,ta,2e_K10,async,10,128,208.09,211.16,199.81,3.18,77.4,345.60,225.54,119.43,553.29,328.19,0.0
A,ta,2e_K10,pread,5,128,208.85,214.67,208.22,2.80,100.0,2040.36,223.02,1816.89,2248.58,2025.11,0.0
A,ta,2e_K500,async,10,128,229.24,479.60,206.10,107.88,32.4,909.63,193.78,714.95,1148.26,955.45,0.0
A,ta,2e_K500,pread,5,128,208.93,210.79,208.10,1.14,100.0,17838.28,195.04,17642.55,18046.38,17850.65,0.0
A,ta,2f_slru,async,10,128,126.71,128.72,123.50,1.81,100.0,7101.73,194.62,6906.78,7228.48,7033.72,0.0
A,ta,2f_slru,pread,5,128,127.04,149.68,124.89,11.39,100.0,18065.83,195.24,17870.94,18191.25,17996.36,0.0
A,ta,baseline,baseline,10,128,816.88,840.90,740.64,34.97,0.0,0.00,0.00,0.00,816.88,816.88,0.0
A,ta,layers_5,async,10,128,1014.07,1035.30,986.81,13.00,100.0,293.05,225.43,67.73,1308.51,1081.45,0.0
