workload,db,strategy,arm,ra_kb,rep,warmup,cold_pct,delivery_pct,first_query_us,preproc_us,open_us,deliver_us,e2e_us,e2e_warm_us,avg_us,majflt,minflt,load,memavail_kb
A,1gb,baseline,baseline,128,1,1,0.00,0.00,737.60,0.00,0.00,0.00,737.60,737.60,1.88,187.00,265.00,1.34,54402396
B,1gb,baseline,baseline,128,1,1,0.00,0.00,729.30,0.00,0.00,0.00,729.30,729.30,1.91,182.00,256.00,1.34,54417536
C,1gb,baseline,baseline,128,1,1,0.00,0.00,717.83,0.00,0.00,0.00,717.83,717.83,1.63,41.00,59.00,1.34,54418420
A,1gb,layers_5,pread,128,1,1,0.00,100.00,478.67,488.36,145.43,342.92,967.03,821.59,1.90,187.00,267.00,1.34,54419984
A,1gb,layers_5,async,128,1,1,0.00,100.00,474.51,216.80,147.08,69.72,691.31,544.23,1.85,187.00,265.00,1.34,54428268
A,1gb,layers_92,pread,128,1,1,0.00,100.00,488.04,5234.77,148.58,5086.19,5722.81,5574.23,1.95,190.00,272.00,1.34,54435064
A,1gb,layers_92,async,128,1,1,0.00,100.00,478.52,348.68,136.40,212.28,827.20,690.80,1.86,190.00,269.00,1.31,54435316
A,1gb,2d,pread,128,1,1,0.00,100.00,316.82,1416.00,162.85,1253.15,1732.82,1569.97,1.86,189.00,273.00,1.31,54434412
A,1gb,2d,async,128,1,1,0.00,100.00,315.05,248.93,161.39,87.53,563.98,402.58,1.86,189.00,270.00,1.31,54448336
A,1gb,2e_K10,pread,128,1,1,0.00,100.00,308.32,1884.59,148.84,1735.75,2192.91,2044.07,1.86,191.00,280.00,1.31,54449424
A,1gb,2e_K10,async,128,1,1,0.00,100.00,458.80,243.21,139.82,103.39,702.01,562.19,1.89,190.00,278.00,1.31,54448712
A,1gb,2e_K500,pread,128,1,1,0.00,100.00,148.28,8562.10,145.17,8416.92,8710.38,8565.20,1.85,179.00,419.00,1.31,54465860
A,1gb,2e_K500,async,128,1,1,0.00,100.00,151.36,947.38,152.52,794.86,1098.74,946.22,1.90,189.00,376.00,1.31,54465936
A,1gb,2f_slru,pread,128,1,1,0.00,100.00,100.19,8411.27,145.87,8265.40,8511.46,8365.59,1.58,0.00,280.00,1.31,54467068
A,1gb,2f_slru,async,128,1,1,0.00,100.00,100.52,7235.83,138.92,7096.90,7336.35,7197.42,1.58,0.00,280.00,1.31,54479536
B,1gb,layers_5,pread,128,1,1,0.00,100.00,645.47,479.54,141.23,338.31,1125.01,983.78,1.99,181.00,258.00,1.31,54481096
B,1gb,layers_5,async,128,1,1,0.00,100.00,644.94,213.82,144.77,69.05,858.76,713.99,1.93,182.00,257.00,1.31,54481884
B,1gb,layers_92,pread,128,1,1,0.00,100.00,481.21,5222.93,151.70,5071.23,5704.14,5552.44,1.92,179.00,265.00,1.31,54482156
B,1gb,layers_92,async,128,1,1,0.00,100.00,490.69,352.14,147.33,204.81,842.83,695.50,1.92,180.00,263.00,1.31,54498228
B,1gb,2d,pread,128,1,1,0.00,100.00,312.60,1382.77,148.07,1234.70,1695.37,1547.30,1.93,178.00,266.00,1.31,54496224
B,1gb,2d,async,128,1,1,0.00,100.00,313.95,238.86,150.90,87.95,552.81,401.90,1.95,179.00,265.00,1.31,54496344
B,1gb,2e_K10,pread,128,1,1,0.00,100.00,310.51,1921.39,146.09,1775.30,2231.90,2085.81,1.94,177.00,272.00,1.31,54511600
B,1gb,2e_K10,async,128,1,1,0.00,100.00,311.68,241.17,142.04,99.14,552.85,410.82,1.91,178.00,270.00,1.31,54511724
B,1gb,2e_K500,pread,128,1,1,0.00,100.00,312.19,8032.56,169.91,7862.65,8344.75,8174.84,1.89,102.00,349.00,1.29,54500484
B,1gb,2e_K500,async,128,1,1,0.00,100.00,317.71,939.90,146.28,793.61,1257.61,1111.32,1.94,183.00,326.00,1.29,54515552
B,1gb,2f_slru,pread,128,1,1,0.00,100.00,99.62,8357.60,164.11,8193.50,8457.22,8293.12,1.61,0.00,280.00,1.29,54517272
B,1gb,2f_slru,async,128,1,1,0.00,100.00,98.02,7207.14,158.14,7049.01,7305.16,7147.03,1.65,0.00,280.00,1.29,54514196
C,1gb,layers_5,pread,128,1,1,0.00,100.00,653.27,489.26,153.51,335.75,1142.53,989.02,1.65,41.00,58.00,1.29,54520272
C,1gb,layers_5,async,128,1,1,0.00,100.00,645.31,214.98,146.54,68.44,860.29,713.75,1.63,41.00,58.00,1.29,54530676
C,1gb,layers_92,pread,128,1,1,0.00,100.00,633.83,5222.64,144.82,5077.82,5856.47,5711.65,1.65,40.00,60.00,1.29,54531204
C,1gb,layers_92,async,128,1,1,0.00,100.00,644.57,336.39,145.71,190.68,980.96,835.25,1.66,40.00,60.00,1.29,54531304
C,1gb,2d,pread,128,1,1,0.00,100.00,319.01,727.29,173.59,553.70,1046.30,872.71,1.62,38.00,62.00,1.29,54543012
C,1gb,2d,async,128,1,1,0.00,100.00,306.01,247.32,174.31,73.02,553.33,379.03,1.65,38.00,62.00,1.29,54543392
C,1gb,2e_K10,pread,128,1,1,0.00,100.00,141.60,1255.76,175.19,1080.57,1397.36,1222.17,1.62,35.00,73.00,1.29,54544084
C,1gb,2e_K10,async,128,1,1,0.00,100.00,143.34,262.92,176.92,86.00,406.26,229.34,1.64,35.00,73.00,1.29,54548112
C,1gb,2e_K500,pread,128,1,1,0.00,100.00,143.31,2543.79,170.42,2373.37,2687.10,2516.68,1.59,1.00,66.00,1.29,54565992
C,1gb,2e_K500,async,128,1,1,0.00,100.00,145.43,973.17,171.26,801.91,1118.60,947.34,1.61,33.00,109.00,1.29,54565376
C,1gb,2f_slru,pread,128,1,1,0.00,100.00,96.10,3102.81,177.81,2925.00,3198.91,3021.10,1.57,0.00,64.00,1.29,54565788
C,1gb,2f_slru,async,128,1,1,0.00,100.00,92.62,1893.36,176.75,1716.61,1985.98,1809.23,1.57,0.00,64.00,1.29,54572384
A,1gb,baseline,baseline,128,2,0,0.00,0.00,2226.25,0.00,0.00,0.00,2226.25,2226.25,1.92,187.00,266.00,1.29,54571952
B,1gb,baseline,baseline,128,2,0,0.00,0.00,715.31,0.00,0.00,0.00,715.31,715.31,1.92,182.00,256.00,1.34,54572732
C,1gb,baseline,baseline,128,2,0,0.00,0.00,721.12,0.00,0.00,0.00,721.12,721.12,1.62,41.00,59.00,1.34,54578468
A,1gb,layers_5,pread,128,2,0,0.00,100.00,473.40,479.83,138.69,341.14,953.23,814.54,1.86,187.00,267.00,1.34,54579700
A,1gb,layers_5,async,128,2,0,0.00,100.00,495.33,208.89,140.54,68.35,704.22,563.68,1.86,187.00,265.00,1.34,54579072
A,1gb,layers_92,pread,128,2,0,0.00,100.00,480.30,5226.39,142.24,5084.15,5706.69,5564.45,1.90,190.00,272.00,1.34,54579876
A,1gb,layers_92,async,128,2,0,0.00,100.00,482.62,347.51,140.81,206.70,830.13,689.32,1.87,190.00,269.00,1.34,54585296
A,1gb,2d,pread,128,2,0,0.00,100.00,305.17,1375.14,139.64,1235.50,1680.31,1540.67,1.85,189.00,273.00,1.34,54584816
A,1gb,2d,async,128,2,0,0.00,100.00,320.54,228.63,141.01,87.61,549.17,408.15,1.87,189.00,270.00,1.34,54586788
A,1gb,2e_K10,pread,128,2,0,0.00,100.00,326.75,1872.03,144.48,1727.55,2198.78,2054.30,1.85,191.00,280.00,1.34,54590908
A,1gb,2e_K10,async,128,2,0,0.00,100.00,329.77,245.40,141.22,104.19,575.17,433.96,1.86,190.00,278.00,1.34,54591304
A,1gb,2e_K500,pread,128,2,0,0.00,100.00,150.34,8185.04,138.91,8046.13,8335.38,8196.47,1.86,179.00,421.00,1.34,54590448
A,1gb,2e_K500,async,128,2,0,0.00,100.00,154.89,958.38,141.93,816.45,1113.27,971.34,1.89,189.00,379.00,1.34,54595472
A,1gb,2f_slru,pread,128,2,0,0.00,100.00,98.17,8325.23,139.29,8185.94,8423.40,8284.11,1.57,0.00,280.00,1.34,54597992
A,1gb,2f_slru,async,128,2,0,0.00,100.00,98.48,7365.39,139.60,7225.79,7463.87,7324.27,1.60,0.00,280.00,1.34,54594864
B,1gb,layers_5,pread,128,2,0,0.00,100.00,641.57,475.94,140.26,335.68,1117.51,977.25,1.90,181.00,258.00,1.34,54596884
B,1gb,layers_5,async,128,2,0,0.00,100.00,641.48,203.78,135.40,68.39,845.26,709.87,1.92,182.00,257.00,1.34,54614672
B,1gb,layers_92,pread,128,2,0,0.00,100.00,482.14,5258.16,139.37,5118.79,5740.30,5600.93,1.93,179.00,267.00,1.32,54614636
B,1gb,layers_92,async,128,2,0,0.00,100.00,491.53,334.60,142.79,191.81,826.13,683.34,1.92,180.00,265.00,1.32,54614956
B,1gb,2d,pread,128,2,0,0.00,100.00,316.10,1391.84,140.94,1250.90,1707.94,1567.00,1.91,178.00,267.00,1.32,54616904
B,1gb,2d,async,128,2,0,0.00,100.00,311.37,227.00,139.08,87.92,538.37,399.29,1.92,179.00,266.00,1.32,54616652
B,1gb,2e_K10,pread,128,2,0,0.00,100.00,319.00,1941.63,140.63,1800.99,2260.63,2119.99,1.91,177.00,271.00,1.32,54617264
B,1gb,2e_K10,async,128,2,0,0.00,100.00,315.64,239.74,140.83,98.91,555.38,414.55,1.93,178.00,271.00,1.32,54618156
B,1gb,2e_K500,pread,128,2,0,0.00,100.00,428.81,8204.38,140.12,8064.25,8633.19,8493.06,1.79,102.00,348.00,1.32,54619132
B,1gb,2e_K500,async,128,2,0,0.00,100.00,315.11,938.49,141.70,796.80,1253.60,1111.91,1.95,183.00,324.00,1.32,54618364
B,1gb,2f_slru,pread,128,2,0,0.00,100.00,97.46,8294.33,139.49,8154.83,8391.79,8252.29,1.62,0.00,280.00,1.32,54619460
B,1gb,2f_slru,async,128,2,0,0.00,100.00,96.50,7204.53,139.85,7064.68,7301.03,7161.18,1.63,0.00,280.00,1.32,54617224
C,1gb,layers_5,pread,128,2,0,0.00,100.00,639.01,473.92,138.48,335.44,1112.93,974.45,1.63,41.00,58.00,1.32,54616844
C,1gb,layers_5,async,128,2,0,0.00,100.00,651.25,210.12,140.82,69.30,861.37,720.55,1.67,41.00,58.00,1.32,54619912
C,1gb,layers_92,pread,128,2,0,0.00,100.00,637.20,5219.45,137.43,5082.02,5856.65,5719.22,1.63,40.00,60.00,1.32,54621916
C,1gb,layers_92,async,128,2,0,0.00,100.00,655.50,346.34,140.41,205.93,1001.84,861.43,1.63,40.00,60.00,1.32,54623104
C,1gb,2d,pread,128,2,0,0.00,100.00,303.53,717.17,169.86,547.31,1020.70,850.84,1.62,38.00,62.00,1.32,54625732
C,1gb,2d,async,128,2,0,0.00,100.00,306.31,244.25,170.37,73.88,550.56,380.19,1.65,38.00,62.00,1.32,54630556
C,1gb,2e_K10,pread,128,2,0,0.00,100.00,144.63,1255.17,171.33,1083.84,1399.80,1228.47,1.65,35.00,73.00,1.32,54630876
C,1gb,2e_K10,async,128,2,0,0.00,100.00,144.19,259.63,171.83,87.80,403.82,231.99,1.65,35.00,73.00,1.29,54630988
C,1gb,2e_K500,pread,128,2,0,0.00,100.00,143.48,2505.85,171.14,2334.71,2649.33,2478.19,1.59,1.00,66.00,1.29,54631736
C,1gb,2e_K500,async,128,2,0,0.00,100.00,148.96,1016.54,174.01,842.53,1165.50,991.49,1.63,33.00,108.00,1.29,54638472
C,1gb,2f_slru,pread,128,2,0,0.00,100.00,90.88,3044.06,171.99,2872.07,3134.94,2962.95,1.58,0.00,64.00,1.29,54641356
C,1gb,2f_slru,async,128,2,0,0.00,100.00,90.54,1897.29,172.93,1724.36,1987.83,1814.90,1.59,0.00,64.00,1.29,54641752
A,1gb,baseline,baseline,128,3,0,0.00,0.00,694.34,0.00,0.00,0.00,694.34,694.34,1.87,187.00,266.00,1.29,54639884
B,1gb,baseline,baseline,128,3,0,0.00,0.00,746.68,0.00,0.00,0.00,746.68,746.68,1.93,182.00,256.00,1.29,54640276
C,1gb,baseline,baseline,128,3,0,0.00,0.00,749.69,0.00,0.00,0.00,749.69,749.69,1.63,41.00,59.00,1.29,54641184
A,1gb,layers_5,pread,128,3,0,0.00,100.00,477.89,479.51,138.54,340.97,957.40,818.86,1.89,187.00,267.00,1.29,54642136
A,1gb,layers_5,async,128,3,0,0.00,100.00,487.31,208.44,141.06,67.38,695.75,554.69,1.88,187.00,265.00,1.29,54641960
A,1gb,layers_92,pread,128,3,0,0.00,100.00,474.08,5210.87,143.52,5067.35,5684.95,5541.43,1.89,190.00,272.00,1.29,54642000
A,1gb,layers_92,async,128,3,0,0.00,100.00,482.13,346.54,140.35,206.19,828.67,688.32,1.88,190.00,269.00,1.29,54642176
A,1gb,2d,pread,128,3,0,0.00,100.00,311.06,1379.94,142.61,1237.34,1691.00,1548.40,1.86,189.00,273.00,1.29,54643292
A,1gb,2d,async,128,3,0,0.00,100.00,310.96,229.52,141.67,87.86,540.48,398.82,1.86,189.00,270.00,1.29,54643932
A,1gb,2e_K10,pread,128,3,0,0.00,100.00,330.94,1883.73,139.70,1744.03,2214.67,2074.97,1.86,191.00,280.00,1.29,54644444
A,1gb,2e_K10,async,128,3,0,0.00,100.00,329.98,245.35,142.91,102.44,575.33,432.42,1.88,190.00,278.00,1.29,54645228
A,1gb,2e_K500,pread,128,3,0,0.00,100.00,151.49,8522.62,141.69,8380.94,8674.11,8532.43,1.85,179.00,422.00,1.29,54645948
A,1gb,2e_K500,async,128,3,0,0.00,100.00,150.32,914.05,142.71,771.34,1064.37,921.66,1.88,189.00,377.00,1.27,54646536
A,1gb,2f_slru,pread,128,3,0,0.00,100.00,101.37,8265.43,142.37,8123.06,8366.80,8224.43,1.57,0.00,280.00,1.27,54646204
A,1gb,2f_slru,async,128,3,0,0.00,100.00,100.91,7227.42,140.05,7087.37,7328.33,7188.28,1.59,0.00,280.00,1.27,54644404
B,1gb,layers_5,pread,128,3,0,0.00,100.00,658.53,484.63,143.39,341.24,1143.16,999.77,1.92,181.00,258.00,1.27,54644708
B,1gb,layers_5,async,128,3,0,0.00,100.00,647.14,209.87,139.55,70.32,857.01,717.46,1.90,182.00,258.00,1.27,54644888
B,1gb,layers_92,pread,128,3,0,0.00,100.00,484.71,5207.29,140.29,5067.00,5692.00,5551.71,1.96,179.00,266.00,1.27,54639796
B,1gb,layers_92,async,128,3,0,0.00,100.00,478.83,332.75,139.47,193.27,811.58,672.10,1.91,180.00,264.00,1.27,54640284
