workload,db,strategy,arm,n,ra_kb,fq_median,fq_p95,fq_min,fq_stdev,delivery_pct_median,preproc_us_median,open_us_median,deliver_us_median,e2e_median,e2e_warm_median,cold_pct_max
A,1gb,2d,async,10,128,321.59,324.34,316.00,2.88,100.0,261.44,172.16,89.03,582.90,410.61,0.0
A,1gb,2d,pread,5,128,319.07,321.89,314.92,2.53,100.0,1415.35,171.28,1245.05,1734.42,1563.14,0.0
A,1gb,2e_K10,async,10,128,151.72,155.30,147.21,2.52,100.0,273.54,173.28,100.66,425.25,252.56,0.0
A,1gb,2e_K10,pread,5,128,149.98,153.39,146.65,2.38,100.0,1959.11,171.83,1786.89,2108.69,1936.47,0.0
A,1gb,2e_K500,async,10,128,152.95,155.70,150.05,1.81,100.0,955.59,171.87,784.16,1109.74,938.13,0.0
A,1gb,2e_K500,pread,5,128,151.89,154.24,150.19,1.49,100.0,9448.76,172.34,9275.48,9603.19,9429.91,0.0
A,1gb,2f_slru,async,10,128,99.83,101.95,93.61,2.23,100.0,7254.38,172.57,7081.60,7354.66,7181.90,0.0
A,1gb,2f_slru,pread,5,128,97.78,100.92,95.74,1.91,100.0,8382.09,172.87,8211.64,8480.67,8310.22,0.0
A,1gb,baseline,baseline,10,128,717.47,727.33,693.95,10.73,0.0,0.00,0.00,0.00,717.47,717.47,0.0
A,1gb,layers_5,async,10,128,652.95,659.73,633.22,7.06,100.0,241.31,171.94,69.16,894.87,722.15,0.0
A,1gb,layers_5,pread,5,128,651.15,657.61,638.70,6.58,100.0,516.32,171.06,343.81,1169.19,991.53,0.0
A,1gb,layers_92,async,10,128,487.13,497.54,468.86,8.25,100.0,377.12,171.85,205.35,862.71,691.66,0.0
A,1gb,layers_92,pread,5,128,491.24,491.95,484.92,2.83,100.0,5243.67,173.26,5069.43,5735.66,5561.42,0.0
B,1gb,2d,async,10,128,316.56,324.45,306.11,6.64,100.0,260.12,171.70,88.79,577.12,404.63,0.0
B,1gb,2d,pread,5,128,308.47,323.44,303.89,8.31,100.0,1413.58,171.68,1243.02,1722.05,1550.36,0.0
B,1gb,2e_K10,async,10,128,318.06,322.40,306.08,5.61,100.0,275.47,172.98,101.25,590.83,419.30,0.0
B,1gb,2e_K10,pread,5,128,309.89,328.03,302.92,9.58,100.0,2059.21,172.24,1887.81,2372.60,2199.23,0.0
B,1gb,2e_K500,async,10,128,151.24,151.99,148.91,1.00,100.0,934.89,171.62,762.07,1085.61,912.79,0.0
B,1gb,2e_K500,pread,5,128,152.73,154.05,150.82,1.21,100.0,9852.72,173.03,9681.59,10004.28,9833.15,0.0
B,1gb,2f_slru,async,10,128,97.20,99.36,95.03,1.53,100.0,7224.54,172.08,7052.16,7321.76,7149.39,0.0
B,1gb,2f_slru,pread,5,128,99.89,100.16,96.28,1.51,100.0,8235.65,171.44,8064.20,8333.65,8162.20,0.0
B,1gb,baseline,baseline,10,128,726.75,747.46,702.76,12.97,0.0,0.00,0.00,0.00,726.75,726.75,0.0
B,1gb,layers_5,async,10,128,646.82,662.64,640.06,7.39,100.0,242.30,173.01,69.34,890.17,716.88,0.0
B,1gb,layers_5,pread,5,128,659.96,660.95,629.00,12.21,100.0,516.05,172.91,342.93,1177.09,1003.60,0.0
B,1gb,layers_92,async,10,128,478.51,492.96,472.48,7.03,100.0,376.15,172.49,203.05,860.63,689.23,0.0
B,1gb,layers_92,pread,5,128,477.89,491.95,467.86,8.82,100.0,5233.89,171.76,5062.13,5715.26,5543.27,0.0
C,1gb,2d,async,10,128,312.65,317.25,309.49,2.80,100.0,243.62,169.85,73.31,557.07,386.27,0.0
C,1gb,2d,pread,5,128,308.79,316.77,305.94,4.16,100.0,719.65,169.75,551.19,1025.59,857.79,0.0
C,1gb,2e_K10,async,10,128,144.82,148.55,138.97,2.74,100.0,255.82,169.72,85.94,400.38,230.49,0.0
C,1gb,2e_K10,pread,5,128,143.11,145.21,141.37,1.44,100.0,1276.35,169.56,1106.40,1419.83,1250.33,0.0
C,1gb,2e_K500,async,10,128,144.91,147.41,141.54,1.65,100.0,1005.63,169.90,835.29,1153.01,982.65,0.0
C,1gb,2e_K500,pread,5,128,145.36,147.54,142.03,1.96,100.0,2505.76,169.06,2336.70,2651.12,2482.06,0.0
C,1gb,2f_slru,async,10,128,92.90,96.42,91.14,1.87,100.0,1738.60,170.31,1567.96,1831.60,1660.97,0.0
C,1gb,2f_slru,pread,5,128,90.52,96.43,88.07,3.46,100.0,2977.26,169.26,2808.01,3067.06,2897.81,0.0
C,1gb,baseline,baseline,10,128,725.65,738.26,715.58,6.59,0.0,0.00,0.00,0.00,725.65,725.65,0.0
C,1gb,layers_5,async,10,128,644.93,662.24,632.37,9.96,100.0,240.18,171.69,68.86,888.01,715.00,0.0
C,1gb,layers_5,pread,5,128,651.21,659.60,644.96,5.97,100.0,511.65,171.84,339.85,1163.35,991.51,0.0
C,1gb,layers_92,async,10,128,653.48,661.89,639.11,6.96,100.0,378.19,172.24,204.68,1027.39,855.09,0.0
C,1gb,layers_92,pread,5,128,648.83,657.43,646.85,4.69,100.0,5245.59,170.07,5074.14,5892.44,5721.56,0.0
