workload,db,strategy,arm,ra_kb,rep,warmup,cold_pct,delivery_pct,first_query_us,preproc_us,open_us,deliver_us,e2e_us,e2e_warm_us,avg_us,majflt,minflt,load,memavail_kb
A,orig,baseline,baseline,128,1,1,0.00,0.00,515.35,0.00,0.00,0.00,515.35,515.35,2.16,180.00,270.00,0.44,54701304
A,1gb,baseline,baseline,128,1,1,0.00,0.00,551.31,0.00,0.00,0.00,551.31,551.31,1.87,181.00,272.00,0.44,54701652
B,orig,baseline,baseline,128,1,1,0.00,0.00,730.05,0.00,0.00,0.00,730.05,730.05,2.23,181.00,273.00,0.44,54702284
B,1gb,baseline,baseline,128,1,1,0.00,0.00,736.67,0.00,0.00,0.00,736.67,736.67,1.95,182.00,275.00,0.44,54700336
C,orig,baseline,baseline,128,1,1,0.00,0.00,1042.20,0.00,0.00,0.00,1042.20,1042.20,1.61,24.00,25.00,0.44,54703588
C,1gb,baseline,baseline,128,1,1,0.00,0.00,704.71,0.00,0.00,0.00,704.71,704.71,1.66,45.00,41.00,0.44,54703648
Z,orig,baseline,baseline,128,1,1,0.00,0.00,503.60,0.00,0.00,0.00,503.60,503.60,1.51,2.00,10.00,0.44,54705096
Z,1gb,baseline,baseline,128,1,1,0.00,0.00,1022.93,0.00,0.00,0.00,1022.93,1022.93,1.51,3.00,12.00,0.44,54705720
A,orig,layers_5,pread,128,1,1,0.00,100.00,181.90,520.27,69.95,450.32,702.17,632.22,2.17,180.00,271.00,0.44,54707272
A,orig,layers_5,async,128,1,1,0.00,100.00,410.21,247.59,179.17,68.42,657.80,478.63,2.13,180.00,271.00,0.49,54708000
A,orig,layers_92,pread,128,1,1,0.00,100.00,180.09,8116.01,66.61,8049.40,8296.10,8229.49,2.13,177.00,286.00,0.49,54699104
A,orig,layers_92,async,128,1,1,0.00,100.00,359.84,366.54,167.16,199.38,726.38,559.22,2.15,178.00,283.00,0.49,54699592
A,orig,2d,pread,128,1,1,0.00,100.00,183.21,1906.28,173.56,1732.73,2089.49,1915.94,2.15,177.00,286.00,0.49,54700284
A,orig,2d,async,128,1,1,0.00,100.00,362.04,264.59,178.07,86.51,626.63,448.55,2.17,178.00,283.00,0.49,54700944
A,orig,2e_K10,pread,128,1,1,0.00,100.00,182.77,2649.79,132.58,2517.21,2832.56,2699.98,2.13,181.00,287.00,0.49,54699872
A,orig,2e_K10,async,128,1,1,0.00,100.00,1369.77,234.69,137.23,97.46,1604.46,1467.23,2.23,181.00,287.00,0.49,54699812
A,orig,2e_K500,pread,128,1,1,0.00,100.00,181.92,20433.09,67.86,20365.24,20615.01,20547.16,2.09,168.00,429.00,0.49,54700760
A,orig,2e_K500,async,128,1,1,0.00,100.00,181.47,1016.01,182.11,833.90,1197.48,1015.37,2.14,179.00,413.00,0.49,54702084
A,orig,2f_slru,pread,128,1,1,0.00,100.00,98.24,18325.56,136.72,18188.85,18423.80,18287.09,1.57,0.00,278.00,0.49,54702236
A,orig,2f_slru,async,128,1,1,0.00,100.00,107.40,7255.04,135.56,7119.48,7362.44,7226.88,1.57,0.00,278.00,0.49,54697776
A,1gb,layers_5,pread,128,1,1,0.00,100.00,320.50,1522.25,119.98,1402.28,1842.75,1722.78,1.89,181.00,272.00,0.49,54700252
A,1gb,layers_5,async,128,1,1,0.00,100.00,459.96,249.75,179.26,70.49,709.71,530.45,1.86,181.00,272.00,0.49,54702704
A,1gb,layers_92,pread,128,1,1,0.00,100.00,319.64,5185.67,137.17,5048.51,5505.31,5368.15,1.90,178.00,286.00,0.49,54700608
A,1gb,layers_92,async,128,1,1,0.00,100.00,462.22,342.46,141.36,201.11,804.68,663.33,1.87,179.00,282.00,0.49,54702712
A,1gb,2d,pread,128,1,1,0.00,100.00,151.83,1340.21,100.53,1239.68,1492.04,1391.51,1.85,177.00,287.00,0.49,54702632
A,1gb,2d,async,128,1,1,0.00,100.00,287.44,237.99,149.12,88.87,525.43,376.31,1.88,178.00,283.00,0.53,54704360
A,1gb,2e_K10,pread,128,1,1,0.00,100.00,156.06,1808.80,68.67,1740.13,1964.86,1896.19,1.89,181.00,288.00,0.53,54703116
A,1gb,2e_K10,async,128,1,1,0.00,100.00,286.70,241.15,142.65,98.51,527.85,385.21,1.88,181.00,287.00,0.53,54707440
