workload,db,strategy,arm,n,ra_kb,fq_median,fq_p95,fq_min,fq_stdev,delivery_pct_median,preproc_us_median,open_us_median,deliver_us_median,e2e_median,e2e_warm_median,cold_pct_max
A,1gb,2d,async,10,128,288.27,292.38,283.94,2.63,100.0,322.27,233.13,88.92,611.19,377.64,0.0
A,1gb,2d,pread,5,128,147.21,152.78,146.86,2.84,100.0,1490.71,233.92,1250.34,1643.50,1397.24,0.0
A,1gb,2e_K10,async,10,128,287.81,291.12,285.07,2.30,100.0,331.58,231.79,101.70,621.69,389.45,0.0
A,1gb,2e_K10,pread,5,128,149.31,150.80,145.69,1.83,100.0,1973.37,232.82,1739.27,2121.51,1887.80,0.0
A,1gb,2e_K500,async,10,128,151.47,538.68,140.33,210.75,100.0,1004.08,232.32,770.38,1202.99,968.99,0.0
A,1gb,2e_K500,pread,5,128,150.53,150.73,148.43,0.93,100.0,10606.85,232.88,10374.72,10756.97,10523.52,0.0
A,1gb,2f_slru,async,10,128,97.73,98.92,95.01,1.45,100.0,7332.66,232.22,7003.73,7430.18,7099.90,0.0
A,1gb,2f_slru,pread,5,128,96.31,98.55,94.71,1.43,100.0,8335.40,233.16,8100.75,8431.71,8197.06,0.0
A,1gb,baseline,baseline,10,128,549.87,571.87,539.76,10.06,0.0,0.00,0.00,0.00,549.87,549.87,0.0
A,1gb,layers_5,async,10,128,458.58,463.22,451.02,3.68,100.0,303.19,232.07,70.39,761.37,528.05,0.0
A,1gb,layers_5,pread,5,128,316.60,319.22,308.74,4.59,100.0,578.61,232.90,345.33,896.52,661.93,0.0
A,1gb,layers_92,async,10,128,456.32,459.86,443.82,4.80,100.0,436.81,233.22,204.52,891.15,659.16,0.0
A,1gb,layers_92,pread,5,128,316.13,319.53,313.37,2.42,100.0,5320.30,233.06,5085.71,5635.43,5401.49,0.0
A,orig,2d,async,10,128,358.73,404.85,350.77,21.43,100.0,317.14,232.13,85.52,678.99,446.90,0.0
A,orig,2d,pread,5,128,178.09,179.32,176.87,0.86,100.0,1959.92,231.14,1728.78,2137.96,1906.82,0.0
A,orig,2e_K10,async,10,128,357.44,402.10,326.29,26.28,100.0,330.96,232.00,98.56,686.96,456.47,0.0
A,orig,2e_K10,pread,5,128,177.79,180.26,176.06,1.66,100.0,2734.45,232.90,2502.23,2912.24,2680.02,0.0
A,orig,2e_K500,async,10,128,180.13,549.02,178.93,200.91,100.0,1065.03,232.06,833.00,1250.81,1018.39,0.0
A,orig,2e_K500,pread,5,128,180.53,183.53,178.81,1.79,100.0,21262.37,232.65,21030.11,21441.18,21208.92,0.0
A,orig,2f_slru,async,10,128,95.91,97.92,92.89,1.72,100.0,7289.12,231.54,7058.07,7383.55,7152.49,0.0
A,orig,2f_slru,pread,5,128,94.94,97.76,94.38,1.38,100.0,18134.35,232.42,17904.30,18232.35,18002.30,0.0
A,orig,baseline,baseline,10,128,487.37,493.23,477.04,5.03,0.0,0.00,0.00,0.00,487.37,487.37,0.0
A,orig,layers_5,async,10,128,379.76,402.58,352.49,18.94,100.0,300.11,230.97,68.95,681.33,448.40,0.0
A,orig,layers_5,pread,5,128,171.08,179.86,167.93,5.00,100.0,667.63,230.40,437.23,840.10,609.07,0.0
A,orig,layers_92,async,10,128,399.36,408.12,353.39,22.85,100.0,428.08,231.97,192.07,814.50,584.03,0.0
A,orig,layers_92,pread,5,128,180.10,181.72,177.58,1.45,100.0,8221.62,231.60,7990.01,8399.20,8167.59,0.0
B,1gb,2d,async,10,128,317.89,322.14,311.63,3.19,100.0,283.94,195.61,88.58,602.51,407.06,0.0
B,1gb,2d,pread,5,128,316.18,1163.50,306.81,396.22,100.0,1446.31,197.08,1250.20,1762.49,1566.38,0.0
B,1gb,2e_K10,async,10,128,314.49,317.42,307.59,2.80,100.0,298.14,195.43,103.45,613.26,418.29,0.0
B,1gb,2e_K10,pread,5,128,315.55,320.85,312.04,3.19,100.0,1977.87,195.44,1782.65,2290.44,2095.84,0.0
B,1gb,2e_K500,async,10,128,393.96,542.14,382.23,79.42,100.0,947.64,195.16,751.81,1341.60,1145.77,0.0
B,1gb,2e_K500,pread,5,128,415.18,422.45,382.72,15.89,100.0,9047.90,193.27,8852.41,9464.25,9268.76,0.0
B,1gb,2f_slru,async,10,128,98.41,327.42,97.27,124.64,100.0,7266.51,200.37,7039.39,7365.73,7138.60,0.0
B,1gb,2f_slru,pread,5,128,97.17,99.78,95.15,1.77,100.0,8354.52,201.65,8168.19,8454.40,8268.07,0.0
B,1gb,baseline,baseline,10,128,721.51,736.90,713.87,7.70,0.0,0.00,0.00,0.00,721.51,721.51,0.0
B,1gb,layers_5,async,10,128,482.59,491.33,475.00,5.29,100.0,265.38,195.77,69.25,748.50,553.19,0.0
B,1gb,layers_5,pread,5,128,480.98,483.52,474.23,3.38,100.0,530.72,194.65,335.03,1011.80,816.01,0.0
B,1gb,layers_92,async,10,128,482.06,516.40,474.22,18.96,100.0,402.35,195.28,206.34,884.10,686.78,0.0
B,1gb,layers_92,pread,5,128,483.40,489.26,481.31,3.15,100.0,5271.77,195.57,5075.57,5755.17,5558.97,0.0
B,orig,2d,async,10,128,406.49,989.98,397.31,317.80,100.0,317.61,231.93,85.59,724.14,493.10,0.0
B,orig,2d,pread,5,128,408.38,414.86,396.18,6.93,100.0,1935.13,230.71,1704.58,2347.36,2116.81,0.0
B,orig,2e_K10,async,10,128,403.71,412.13,399.44,4.27,100.0,332.55,231.91,100.20,737.30,504.50,0.0
B,orig,2e_K10,pread,5,128,402.44,408.14,397.81,4.17,100.0,2848.61,232.43,2616.19,3256.53,3024.11,0.0
B,orig,2e_K500,async,10,128,451.12,454.68,399.32,20.20,100.0,1114.35,231.67,881.70,1566.01,1332.83,0.0
B,orig,2e_K500,pread,5,128,452.31,811.89,404.89,185.29,100.0,20826.80,231.47,20595.34,21728.36,21496.90,0.0
B,orig,2f_slru,async,10,128,96.07,97.98,94.86,1.10,100.0,7195.68,195.34,7000.01,7291.20,7095.55,0.0
