workload,db,strategy,arm,metric,n_seeds,mean_pct,median_pct,ci_lo,ci_hi,min_pct,max_pct,sign_consistency,verdict,per_seed
A,orig,2d,async,e2e_us,10,-0.41,-3.2,-6.61,7.42,-12.59,29.33,6/10,tie,01=29.3;02=1.0;03=-8.2;04=-12.6;05=-6.2;06=-11.2;07=4.1;08=-0.2;09=-6.3;10=6.0
A,orig,2d,async,e2e_warm_us,10,-24.95,-26.59,-29.44,-19.83,-34.84,-8.53,10/10,robust,01=-8.5;02=-24.9;03=-31.9;04=-31.4;05=-29.5;06=-34.8;07=-20.0;08=-24.6;09=-28.3;10=-15.5
A,orig,2d,async,first_query_us,10,-35.09,-36.7,-38.86,-31.02,-44.21,-24.75,10/10,robust,01=-25.2;02=-35.0;03=-41.3;04=-39.6;05=-38.4;06=-44.2;07=-30.0;08=-34.0;09=-38.4;10=-24.8
A,orig,2d,pread,e2e_us,10,186.29,176.68,165.66,215.91,141.01,306.19,10/10,robust,01=306.2;02=189.2;03=170.7;04=141.0;05=160.6;06=162.7;07=196.7;08=173.3;09=182.4;10=180.0
A,orig,2d,pread,e2e_warm_us,10,161.3,154.09,142.64,187.65,121.69,268.19,10/10,robust,01=268.2;02=162.6;03=145.8;04=121.7;05=137.7;06=137.7;07=171.4;08=148.7;09=159.5;10=159.8
A,orig,2d,pread,first_query_us,10,-38.93,-37.54,-44.41,-34.28,-59.42,-26.83,10/10,robust,01=-59.4;02=-35.4;03=-42.1;04=-39.8;05=-38.7;06=-44.1;07=-32.9;08=-33.7;09=-36.4;10=-26.8
A,orig,2e_K10,async,e2e_us,10,-12.3,-6.51,-27.48,2.57,-45.22,32.17,8/10,directional,01=32.2;02=-1.7;03=-7.0;04=-10.9;05=-45.1;06=-42.0;07=5.9;08=-3.1;09=-6.0;10=-45.2
A,orig,2e_K10,async,e2e_warm_us,10,-36.01,-29.1,-49.98,-23.07,-68.24,-5.31,10/10,robust,01=-5.3;02=-24.6;03=-30.4;04=-29.8;05=-68.2;06=-66.0;07=-17.3;08=-23.6;09=-28.4;10=-66.5
A,orig,2e_K10,async,first_query_us,10,-47.72,-39.58,-60.85,-35.79,-78.53,-24.9,10/10,robust,01=-24.9;02=-36.0;03=-41.1;04=-39.3;05=-78.5;06=-76.8;07=-29.0;08=-34.3;09=-39.9;10=-77.3
A,orig,2e_K10,pread,e2e_us,10,267.57,256.99,231.52,316.2,199.32,456.7,10/10,robust,01=456.7;02=285.0;03=258.6;04=219.6;05=199.3;06=221.4;07=295.6;08=255.4;09=270.9;10=213.2
A,orig,2e_K10,pread,e2e_warm_us,10,243.25,234.13,209.01,288.9,176.06,419.18,10/10,robust,01=419.2;02=257.8;03=233.2;04=200.6;05=176.1;06=197.1;07=272.6;08=235.0;09=248.9;10=191.9
A,orig,2e_K10,pread,first_query_us,10,-51.57,-42.52,-63.33,-40.57,-78.35,-29.8,10/10,robust,01=-59.5;02=-35.5;03=-45.2;04=-39.8;05=-78.4;06=-76.7;07=-29.8;08=-33.9;09=-39.7;10=-77.2
A,orig,2e_K500,async,e2e_us,10,103.19,74.38,59.38,165.89,29.47,360.52,10/10,robust,01=139.7;02=94.6;03=73.0;04=64.8;05=29.5;06=360.5;07=112.5;08=75.7;09=46.5;10=35.0
A,orig,2e_K500,async,e2e_warm_us,10,79.07,52.64,36.53,141.43,6.44,337.0,10/10,robust,01=100.4;02=69.4;03=49.9;04=45.9;05=6.4;06=337.0;07=88.3;08=55.4;09=24.5;10=13.5
A,orig,2e_K500,async,first_query_us,10,-17.62,-36.05,-59.14,48.87,-78.31,261.95,9/10,directional,01=-59.2;02=-29.9;03=-35.8;04=-35.6;05=-78.3;06=262.0;07=-11.5;08=-36.3;09=-74.6;10=-77.0
A,orig,2e_K500,pread,e2e_us,10,2452.13,2196.44,2098.33,2889.74,1781.05,4017.62,10/10,robust,01=4017.6;02=3259.7;03=1978.1;04=1781.0;05=2297.1;06=2106.7;07=2652.1;08=2197.4;09=2195.5;10=2036.1
A,orig,2e_K500,pread,e2e_warm_us,10,2428.11,2174.67,2076.78,2862.93,1762.28,3979.97,10/10,robust,01=3980.0;02=3236.5;03=1952.7;04=1762.3;05=2273.3;06=2083.2;07=2628.9;08=2176.0;09=2173.3;10=2014.8
A,orig,2e_K500,pread,first_query_us,10,-55.99,-66.8,-69.93,-40.12,-79.27,-10.79,10/10,robust,01=-58.9;02=-25.3;03=-42.6;04=-79.3;05=-78.4;06=-76.7;07=-10.8;08=-36.4;09=-74.7;10=-76.8
A,orig,2f_slru,async,e2e_us,10,769.13,712.98,684.22,899.21,606.49,1307.67,10/10,robust,01=1307.7;02=742.2;03=711.4;04=606.5;05=648.8;06=709.7;07=775.2;08=714.5;09=779.4;10=695.7
A,orig,2f_slru,async,e2e_warm_us,10,744.14,690.27,661.67,870.21,587.06,1267.24,10/10,robust,01=1267.2;02=719.3;03=686.4;04=587.1;05=625.8;06=685.8;07=752.0;08=694.2;09=749.3;10=674.3
A,orig,2f_slru,async,first_query_us,10,-84.9,-86.0,-86.35,-82.64,-87.42,-75.45,10/10,robust,01=-75.4;02=-85.0;03=-86.0;04=-87.4;05=-87.1;06=-86.0;07=-84.8;08=-86.0;09=-84.9;10=-86.3
A,orig,2f_slru,pread,e2e_us,10,2078.51,1937.14,1869.59,2399.22,1646.49,3411.53,10/10,robust,01=3411.5;02=2009.2;03=1936.4;04=1646.5;05=1816.1;06=1927.7;07=2047.9;08=1937.9;09=2119.7;10=1932.2
A,orig,2f_slru,pread,e2e_warm_us,10,2054.37,1914.36,1846.57,2372.44,1624.33,3373.79,10/10,robust,01=3373.8;02=1986.6;03=1911.2;04=1624.3;05=1793.2;06=1904.1;07=2024.7;08=1917.5;09=2097.6;10=1910.8
A,orig,2f_slru,pread,first_query_us,10,-84.95,-85.97,-86.47,-82.67,-87.76,-75.53,10/10,robust,01=-75.5;02=-85.4;03=-86.1;04=-87.8;05=-87.1;06=-86.2;07=-84.6;08=-85.8;09=-84.7;10=-86.3
