workload,db,strategy,arm,metric,n_seeds,mean_pct,median_pct,ci_lo,ci_hi,min_pct,max_pct,sign_consistency,verdict,per_seed
A,1gb,2d,async,e2e_us,10,-19.47,-20.27,-21.87,-16.02,-23.73,-5.98,10/10,robust,seed01=-6.0;seed02=-21.2;seed03=-21.2;seed04=-23.7;seed05=-23.2;seed06=-19.4;seed07=-18.9;seed08=-18.9;seed09=-23.4;seed10=-18.8
A,1gb,2d,async,e2e_warm_us,10,-41.9,-43.24,-43.39,-39.21,-43.73,-30.2,10/10,robust,seed01=-30.2;seed02=-42.3;seed03=-43.7;seed04=-43.4;seed05=-43.6;seed06=-43.6;seed07=-42.9;seed08=-43.1;seed09=-43.4;seed10=-42.8
A,1gb,2d,async,first_query_us,10,-54.81,-55.79,-55.9,-52.91,-56.12,-46.63,10/10,robust,seed01=-46.6;seed02=-54.8;seed03=-56.1;seed04=-55.9;seed05=-56.1;seed06=-55.7;seed07=-55.5;seed08=-56.1;seed09=-56.1;seed10=-55.2
A,1gb,2d,pread,e2e_us,10,144.87,141.45,139.68,153.28,135.16,180.3,10/10,robust,seed01=180.3;seed02=142.5;seed03=140.8;seed04=135.2;seed05=141.2;seed06=139.8;seed07=142.9;seed08=144.8;seed09=139.3;seed10=141.7
A,1gb,2d,pread,e2e_warm_us,10,122.16,118.56,117.52,130.08,115.72,156.16,10/10,robust,seed01=156.2;seed02=122.2;seed03=118.2;seed04=115.8;seed05=117.4;seed06=115.7;seed07=118.9;seed08=120.2;seed09=119.1;seed10=117.9
A,1gb,2d,pread,first_query_us,10,-57.7,-56.0,-61.04,-55.83,-72.26,-55.29,10/10,robust,seed01=-72.3;seed02=-55.3;seed03=-55.7;seed04=-56.9;seed05=-56.8;seed06=-56.5;seed07=-56.0;seed08=-56.0;seed09=-55.9;seed10=-55.5
A,1gb,2e_K10,async,e2e_us,10,-23.76,-18.71,-31.91,-16.29,-42.24,-3.91,10/10,robust,seed01=-3.9;seed02=-20.3;seed03=-18.8;seed04=-17.9;seed05=-42.2;seed06=-40.8;seed07=-17.0;seed08=-17.3;seed09=-18.6;seed10=-40.7
A,1gb,2e_K10,async,e2e_warm_us,10,-46.73,-41.44,-55.05,-39.41,-64.8,-28.19,10/10,robust,seed01=-28.2;seed02=-40.9;seed03=-41.4;seed04=-41.4;seed05=-64.3;seed06=-64.7;seed07=-41.0;seed08=-41.8;seed09=-38.8;seed10=-64.8
A,1gb,2e_K10,async,first_query_us,10,-61.45,-55.57,-69.33,-54.51,-78.98,-46.64,10/10,robust,seed01=-46.6;seed02=-55.3;seed03=-55.7;seed04=-55.4;seed05=-78.7;seed06=-79.0;seed07=-55.4;seed08=-56.1;seed09=-53.4;seed10=-78.9
A,1gb,2e_K10,pread,e2e_us,10,215.28,214.04,203.63,230.06,192.87,271.02,10/10,robust,seed01=271.0;seed02=225.4;seed03=216.0;seed04=213.1;seed05=194.7;seed06=192.9;seed07=218.1;seed08=215.0;seed09=212.7;seed10=193.9
A,1gb,2e_K10,pread,e2e_warm_us,10,192.38,191.71,180.63,207.02,169.11,247.25,10/10,robust,seed01=247.3;seed02=205.2;seed03=193.4;seed04=189.4;seed05=172.0;seed06=169.1;seed07=194.2;seed08=190.6;seed09=192.8;seed10=169.9
A,1gb,2e_K10,pread,first_query_us,10,-64.24,-56.74,-71.27,-57.68,-79.1,-53.5,10/10,robust,seed01=-72.4;seed02=-54.5;seed03=-55.9;seed04=-57.2;seed05=-78.8;seed06=-79.0;seed07=-55.7;seed08=-56.3;seed09=-53.5;seed10=-79.1
A,1gb,2e_K500,async,e2e_us,10,70.98,73.47,63.09,79.03,54.67,93.61,10/10,robust,seed01=93.6;seed02=71.4;seed03=75.6;seed04=79.3;seed05=58.0;seed06=58.6;seed07=82.9;seed08=80.0;seed09=55.7;seed10=54.7
A,1gb,2e_K500,async,e2e_warm_us,10,47.49,49.77,40.24,54.84,30.76,67.44,10/10,robust,seed01=67.4;seed02=50.6;seed03=48.9;seed04=55.6;seed05=36.6;seed06=34.5;seed07=58.9;seed08=55.8;seed09=35.8;seed10=30.8
A,1gb,2e_K500,async,first_query_us,10,-66.32,-64.22,-73.32,-59.5,-78.77,-53.54,10/10,robust,seed01=-72.0;seed02=-54.6;seed03=-55.8;seed04=-56.2;seed05=-78.7;seed06=-78.8;seed07=-53.5;seed08=-56.4;seed09=-78.5;seed10=-78.7
A,1gb,2e_K500,pread,e2e_us,10,1469.76,1334.43,1275.91,1696.09,1128.43,2228.94,10/10,robust,seed01=1873.5;seed02=2228.9;seed03=1196.5;seed04=1134.4;seed05=1628.9;seed06=1283.4;seed07=1599.6;seed08=1385.5;seed09=1128.4;seed10=1238.5
A,1gb,2e_K500,pread,e2e_warm_us,10,1446.08,1310.27,1252.68,1673.04,1108.64,2208.44,10/10,robust,seed01=1848.0;seed02=2208.4;seed03=1169.6;seed04=1110.9;seed05=1605.1;seed06=1259.4;seed07=1575.3;seed08=1361.1;seed09=1108.6;seed10=1214.3
A,1gb,2e_K500,pread,first_query_us,10,-65.91,-75.51,-75.04,-55.83,-78.91,-40.28,10/10,robust,seed01=-72.4;seed02=-55.0;seed03=-40.3;seed04=-78.9;seed05=-78.9;seed06=-78.7;seed07=-41.1;seed08=-56.4;seed09=-78.6;seed10=-78.8
A,1gb,2f_slru,async,e2e_us,10,953.14,924.68,917.72,1016.59,901.87,1229.83,10/10,robust,seed01=1229.8;seed02=922.9;seed03=933.3;seed04=901.9;seed05=918.0;seed06=911.3;seed07=934.7;seed08=924.3;seed09=930.0;seed10=925.1
