workload,db,strategy,rep,first_query_us,avg_us,majflt,minflt
A,orig,2e_K40,1,244.36,1.76,182,300
A,orig,2e_K40,2,229.72,1.76,182,300
A,orig,2e_K40,3,225.58,1.78,182,302
A,orig,2e_K40,4,237.06,1.78,182,302
A,orig,2e_K40,5,256.88,1.80,182,301
A,orig,2e_K40,6,227.66,1.77,182,302
A,orig,2e_K92,1,208.18,1.78,183,325
A,orig,2e_K92,2,249.24,1.76,183,326
A,orig,2e_K92,3,210.54,1.77,183,325
A,orig,2e_K92,4,212.81,1.76,183,323
A,orig,2e_K92,5,214.57,1.79,183,324
A,orig,2e_K92,6,211.31,1.80,183,324
A,vacuum,2e_K40,1,239.71,1.74,148,234
A,vacuum,2e_K40,2,249.38,1.76,148,234
A,vacuum,2e_K40,3,254.63,1.73,148,235
A,vacuum,2e_K40,4,252.47,1.73,148,235
A,vacuum,2e_K40,5,245.16,1.75,148,235
A,vacuum,2e_K40,6,253.09,1.72,148,234
A,vacuum,2e_K92,1,215.18,1.71,147,258
A,vacuum,2e_K92,2,212.53,1.76,147,260
A,vacuum,2e_K92,3,219.48,1.72,147,258
A,vacuum,2e_K92,4,211.87,1.71,147,258
A,vacuum,2e_K92,5,216.35,1.73,147,259
A,vacuum,2e_K92,6,209.30,1.73,147,258
A,ta,2e_K40,1,251.50,1.77,180,292
A,ta,2e_K40,2,245.72,1.77,180,292
A,ta,2e_K40,3,250.61,1.77,180,291
A,ta,2e_K40,4,247.93,1.81,180,292
A,ta,2e_K40,5,260.68,1.79,180,292
A,ta,2e_K40,6,248.85,1.78,180,292
A,ta,2e_K92,1,323.75,1.86,181,315
A,ta,2e_K92,2,390.75,1.83,181,314
A,ta,2e_K92,3,476.07,1.83,181,314
A,ta,2e_K92,4,432.35,1.82,181,314
A,ta,2e_K92,5,428.82,1.83,181,315
A,ta,2e_K92,6,238.70,1.89,181,316
B,orig,2e_K40,1,249.55,1.86,181,286
B,orig,2e_K40,2,254.32,1.84,181,286
B,orig,2e_K40,3,242.48,1.91,181,286
B,orig,2e_K40,4,252.33,1.83,181,286
B,orig,2e_K40,5,246.78,1.83,181,286
B,orig,2e_K40,6,256.96,1.85,181,286
B,orig,2e_K92,1,242.93,1.84,184,293
B,orig,2e_K92,2,245.50,1.85,184,294
B,orig,2e_K92,3,242.73,1.89,184,293
B,orig,2e_K92,4,240.35,1.85,184,293
B,orig,2e_K92,5,242.59,1.84,184,295
B,orig,2e_K92,6,243.12,1.86,184,294
B,vacuum,2e_K40,1,256.96,1.77,146,235
B,vacuum,2e_K40,2,254.21,1.78,146,237
B,vacuum,2e_K40,3,252.02,1.78,146,236
B,vacuum,2e_K40,4,247.96,1.79,146,235
B,vacuum,2e_K40,5,253.24,1.79,146,236
B,vacuum,2e_K40,6,246.91,1.78,146,236
B,vacuum,2e_K92,1,251.21,1.80,149,244
B,vacuum,2e_K92,2,250.26,1.80,149,243
B,vacuum,2e_K92,3,248.94,1.79,149,243
B,vacuum,2e_K92,4,247.25,1.83,149,242
B,vacuum,2e_K92,5,255.43,1.79,149,242
B,vacuum,2e_K92,6,251.50,1.78,149,242
B,ta,2e_K40,1,253.96,1.84,181,281
B,ta,2e_K40,2,244.11,1.84,181,281
B,ta,2e_K40,3,263.83,1.86,181,282
B,ta,2e_K40,4,253.97,1.93,181,282
B,ta,2e_K40,5,249.97,1.83,181,281
B,ta,2e_K40,6,253.45,1.84,181,282
B,ta,2e_K92,1,391.65,1.85,184,287
B,ta,2e_K92,2,323.74,1.85,184,286
B,ta,2e_K92,3,272.31,1.84,184,286
B,ta,2e_K92,4,372.62,1.84,184,288
B,ta,2e_K92,5,366.87,1.84,184,286
B,ta,2e_K92,6,275.44,1.86,184,288
C,orig,2e_K40,1,78.17,1.53,22,58
C,orig,2e_K40,2,88.24,1.52,22,57
C,orig,2e_K40,3,76.92,1.52,22,57
C,orig,2e_K40,4,83.46,1.54,22,58
C,orig,2e_K40,5,75.44,1.52,22,58
C,orig,2e_K40,6,78.23,1.49,22,58
C,orig,2e_K92,1,77.94,1.51,21,65
C,orig,2e_K92,2,79.85,1.53,21,64
C,orig,2e_K92,3,80.29,1.51,21,64
C,orig,2e_K92,4,77.92,1.51,21,62
C,orig,2e_K92,5,85.08,1.53,21,63
C,orig,2e_K92,6,79.28,1.50,21,65
C,vacuum,2e_K40,1,83.01,1.44,14,57
C,vacuum,2e_K40,2,82.41,1.47,14,56
C,vacuum,2e_K40,3,79.66,1.47,14,57
C,vacuum,2e_K40,4,104.30,1.46,14,58
C,vacuum,2e_K40,5,80.56,1.45,14,57
C,vacuum,2e_K40,6,78.52,1.48,14,57
C,vacuum,2e_K92,1,77.87,1.47,13,68
C,vacuum,2e_K92,2,77.72,1.46,13,66
C,vacuum,2e_K92,3,78.62,1.45,13,67
C,vacuum,2e_K92,4,80.11,1.45,13,67
C,vacuum,2e_K92,5,81.13,1.45,13,67
C,vacuum,2e_K92,6,81.56,1.45,13,67
C,ta,2e_K40,1,81.86,1.53,22,57
C,ta,2e_K40,2,80.24,1.50,22,57
C,ta,2e_K40,3,104.46,1.52,22,56
C,ta,2e_K40,4,80.30,1.53,22,57
C,ta,2e_K40,5,78.53,1.52,22,56
C,ta,2e_K40,6,81.80,1.54,22,56
C,ta,2e_K92,1,84.31,1.52,21,63
C,ta,2e_K92,2,78.55,1.53,21,65
C,ta,2e_K92,3,82.58,1.51,21,66
C,ta,2e_K92,4,95.89,1.53,21,63
C,ta,2e_K92,5,80.86,1.51,21,63
C,ta,2e_K92,6,81.31,1.52,21,65
