workload,strategy,rep,n_ops,total_ms,avg_us,first_us,prefetch_us,n_prefetch,cold_total_ms
B,baseline,1,100000,412.84,4.13,255.04,0.00,0,0.26
B,baseline,2,100000,413.59,4.14,252.10,0.00,0,0.25
B,baseline,3,100000,413.25,4.13,255.02,0.00,0,0.26
B,layers5,1,100000,411.24,4.11,137.32,14.97,5,0.15
B,layers5,2,100000,412.20,4.12,128.84,18.55,5,0.15
B,layers5,3,100000,408.66,4.09,167.62,13.53,5,0.18
B,slru,1,100000,255.22,2.55,14.42,7478.28,4122,7.49
B,slru,2,100000,254.62,2.55,14.61,7954.00,4122,7.97
B,slru,3,100000,252.93,2.53,17.55,7613.88,4122,7.63
A,baseline,1,100000,410.51,4.11,247.66,0.00,0,0.25
A,baseline,2,100000,409.41,4.09,250.81,0.00,0,0.25
A,baseline,3,100000,415.01,4.15,251.28,0.00,0,0.25
A,layers5,1,100000,410.55,4.11,149.55,14.43,5,0.16
A,layers5,2,100000,412.59,4.13,131.89,15.80,5,0.15
A,layers5,3,100000,412.93,4.13,132.81,18.91,5,0.15
A,slru,1,100000,250.29,2.50,15.65,7254.92,4048,7.27
A,slru,2,100000,250.48,2.50,13.83,7136.54,4048,7.15
A,slru,3,100000,247.65,2.48,13.88,7675.81,4048,7.69
