workload,strategy,rep,first_query_us,avg_us,prefetch_us,n_prefetch
A,baseline,1,346.95,,0,0
A,baseline,2,304.34,,0,0
A,baseline,3,321.39,,0,0
A,layers5,1,126.53,,7.51,5
A,layers5,2,87.53,,13.54,5
A,layers5,3,132.38,,11.45,5
A,slru,1,14.98,,7361.06,4043
A,slru,2,13.40,,7789.39,4043
A,slru,3,16.18,,7595.72,4043
B,baseline,1,310.92,,0,0
B,baseline,2,303.83,,0,0
B,baseline,3,302.25,,0,0
B,layers5,1,136.41,,12.90,5
B,layers5,2,132.49,,18.41,5
B,layers5,3,127.42,,17.39,5
B,slru,1,16.05,,7421.53,4107
B,slru,2,14.05,,7643.41,4107
B,slru,3,18.27,,7497.38,4107
C,baseline,1,251.37,,0,0
C,baseline,2,247.56,,0,0
C,baseline,3,248.55,,0,0
C,layers5,1,148.69,,15.85,5
C,layers5,2,139.98,,18.12,5
C,layers5,3,138.70,,20.44,5
C,slru,1,13.28,,1879.54,417
C,slru,2,12.83,,1844.57,417
C,slru,3,17.00,,1689.86,417
