workload,strategy,rep,first_query_us,avg_us,prefetch_us,n_prefetch
A,baseline,1,218.79,,0,0
A,baseline,2,218.56,,0,0
A,baseline,3,214.09,,0,0
A,slru,1,15.02,,6711.69,3369
A,slru,2,15.07,,6703.47,3369
A,slru,3,16.69,,6790.16,3369
B,baseline,1,234.04,,0,0
B,baseline,2,229.94,,0,0
B,baseline,3,215.89,,0,0
B,slru,1,20.21,,6085.84,3373
B,slru,2,13.80,,6302.51,3373
B,slru,3,14.34,,6408.69,3373
C,baseline,1,219.15,,0,0
C,baseline,2,211.94,,0,0
C,baseline,3,212.10,,0,0
C,slru,1,18.77,,1700.88,394
C,slru,2,13.51,,1910.52,394
C,slru,3,13.54,,2132.33,394
